K,D,maskSeed,chainSeed,inforate
20.0,2.0,104.0,104.0,-3.5936094260967435
20.0,2.0,105.0,101.0,-3.5662237479201866
20.0,2.0,105.0,102.0,-3.5665188079647545
20.0,2.0,105.0,103.0,-3.5662623241795384
20.0,2.0,105.0,104.0,-3.5662990585814645
20.0,3.0,101.0,101.0,-3.5721521988465685
20.0,3.0,101.0,102.0,-3.572733657538079
20.0,3.0,101.0,103.0,-3.5727865165659614
20.0,3.0,101.0,104.0,-3.572614287230655
20.0,3.0,102.0,101.0,-3.607420550609324
20.0,3.0,102.0,102.0,-3.6077299339976854
20.0,3.0,102.0,103.0,-3.607724273695845
20.0,3.0,102.0,104.0,-3.6073484610032436
20.0,3.0,103.0,101.0,-3.5877894028669948
20.0,3.0,103.0,102.0,-3.590032054026173
20.0,3.0,103.0,103.0,-3.583863032832326
20.0,3.0,103.0,104.0,-3.584676692134184
20.0,3.0,104.0,101.0,-3.5828287926113993
20.0,3.0,104.0,102.0,-3.58271605790186
20.0,3.0,104.0,103.0,-3.582809605552466
20.0,3.0,104.0,104.0,-3.5827822682735118
20.0,3.0,105.0,101.0,-3.550717256572385
20.0,3.0,105.0,102.0,-3.550636351333338
20.0,3.0,105.0,103.0,-3.5503623568211236
20.0,3.0,105.0,104.0,-3.550619333743617
20.0,4.0,101.0,101.0,-3.5755463629831965
20.0,4.0,101.0,102.0,-3.574860408569427
20.0,4.0,101.0,103.0,-3.57534837680858
20.0,4.0,101.0,104.0,-3.575773883385158
20.0,4.0,102.0,101.0,-3.6126959642073264
20.0,4.0,102.0,102.0,-3.612858460132463
20.0,4.0,102.0,103.0,-3.612381302116681
20.0,4.0,102.0,104.0,-3.612402696610903
20.0,4.0,103.0,101.0,-3.589667032247498
20.0,4.0,103.0,102.0,-3.608254613957485
20.0,4.0,103.0,103.0,-3.6099337656860477
20.0,4.0,103.0,104.0,-3.6020861564856137
20.0,4.0,104.0,101.0,-3.586831684316917
20.0,4.0,104.0,102.0,-3.587483333984315
20.0,4.0,104.0,103.0,-3.586378238255469
20.0,4.0,104.0,104.0,-3.5876896815279977
20.0,4.0,105.0,101.0,-3.550386286600481
20.0,4.0,105.0,102.0,-3.550849080924365
20.0,4.0,105.0,103.0,-3.550534557014014
20.0,4.0,105.0,104.0,-3.550745918519178
20.0,5.0,101.0,101.0,-3.582586191993958
20.0,5.0,101.0,102.0,-3.58369026822194
20.0,5.0,101.0,103.0,-3.583402096914414
20.0,5.0,101.0,104.0,-3.582654332417275
20.0,5.0,102.0,101.0,-3.622892360371239
20.0,5.0,102.0,102.0,-3.622675988053644
20.0,5.0,102.0,103.0,-3.6227861950390294
20.0,5.0,102.0,104.0,-3.623319218639694
20.0,5.0,103.0,101.0,-3.5999645995915337
20.0,5.0,103.0,102.0,-3.6282282150130682
20.0,5.0,103.0,103.0,-3.621148024531108
20.0,5.0,103.0,104.0,-3.6273416571679924
20.0,5.0,104.0,101.0,-3.596288640104985
20.0,5.0,104.0,102.0,-3.5963029481475965
20.0,5.0,104.0,103.0,-3.5966647781489476
20.0,5.0,104.0,104.0,-3.596123826667495
20.0,5.0,105.0,101.0,-3.5575631984046785
20.0,5.0,105.0,102.0,-3.556851780299532
20.0,5.0,105.0,103.0,-3.5572087288892043
20.0,5.0,105.0,104.0,-3.557110600283153
25.0,1.0,101.0,101.0,-3.6532244695477187
25.0,1.0,101.0,102.0,-3.653127228152459
25.0,1.0,101.0,103.0,-3.6530781402330454
25.0,1.0,101.0,104.0,-3.653251914180829
25.0,1.0,102.0,101.0,-3.6778588656596316
25.0,1.0,102.0,102.0,-3.6776146742258953
25.0,1.0,102.0,103.0,-3.6775830128990963
25.0,1.0,102.0,104.0,-3.677759954572957
25.0,1.0,103.0,101.0,-3.6588278869858937
25.0,1.0,103.0,102.0,-3.6592143606854006
25.0,1.0,103.0,103.0,-3.658722779493165
25.0,1.0,103.0,104.0,-3.6592434519269834
25.0,1.0,104.0,101.0,-3.659033086655803
25.0,1.0,104.0,102.0,-3.659050396916353
25.0,1.0,104.0,103.0,-3.6589153720906498
25.0,1.0,104.0,104.0,-3.659263140913674
25.0,1.0,105.0,101.0,-3.6389474978274854
25.0,1.0,105.0,102.0,-3.6390762910176604
25.0,1.0,105.0,103.0,-3.638961535137764
25.0,1.0,105.0,104.0,-3.6389006251825005
25.0,2.0,101.0,101.0,-3.585331141315062
25.0,2.0,101.0,102.0,-3.5855927874675695
25.0,2.0,101.0,103.0,-3.585593146743788
25.0,2.0,101.0,104.0,-3.5854053234768535
25.0,2.0,102.0,101.0,-3.616156734842925
25.0,2.0,102.0,102.0,-3.6161564949056375
25.0,2.0,102.0,103.0,-3.6159367300465908
25.0,2.0,102.0,104.0,-3.616070588140931
25.0,2.0,103.0,101.0,-3.600020533160238
25.0,2.0,103.0,102.0,-3.5948332235214124
25.0,2.0,103.0,103.0,-3.5933904074939393
25.0,2.0,103.0,104.0,-3.5940428000710134
25.0,2.0,104.0,101.0,-3.59383803118088
25.0,2.0,104.0,102.0,-3.59391659618979
25.0,2.0,104.0,103.0,-3.5939814781296415
25.0,2.0,104.0,104.0,-3.594043170252638
25.0,2.0,105.0,101.0,-3.5659303198267187
25.0,2.0,105.0,102.0,-3.5663550277779956
25.0,2.0,105.0,103.0,-3.5663579511258976
25.0,2.0,105.0,104.0,-3.565967480234506
25.0,3.0,101.0,101.0,-3.572676758547901
25.0,3.0,101.0,102.0,-3.572479855505972
25.0,3.0,101.0,103.0,-3.5724763590807647
25.0,3.0,101.0,104.0,-3.5724258898806944
25.0,3.0,102.0,101.0,-3.6073830126730297
25.0,3.0,102.0,102.0,-3.6074789949599944
25.0,3.0,102.0,103.0,-3.607475162801668
25.0,3.0,102.0,104.0,-3.6070642310605754
25.0,3.0,103.0,101.0,-3.5974723252297296
25.0,3.0,103.0,102.0,-3.583283205974295
25.0,3.0,103.0,103.0,-3.583380929975461
25.0,3.0,103.0,104.0,-3.584127545353243
25.0,3.0,104.0,101.0,-3.5832130081840683
25.0,3.0,104.0,102.0,-3.583212884810512
25.0,3.0,104.0,103.0,-3.582581528339366
25.0,3.0,104.0,104.0,-3.5831176843749812
25.0,3.0,105.0,101.0,-3.550286002630353
25.0,3.0,105.0,102.0,-3.5504211607502576
25.0,3.0,105.0,103.0,-3.5504605036527734
25.0,3.0,105.0,104.0,-3.550252286724696
25.0,4.0,101.0,101.0,-3.5750320856545286
25.0,4.0,101.0,102.0,-3.574805751014294
25.0,4.0,101.0,103.0,-3.5748947261953012
25.0,4.0,101.0,104.0,-3.5752954242406068
25.0,4.0,102.0,101.0,-3.612549258206502
25.0,4.0,102.0,102.0,-3.612598776329916
25.0,4.0,102.0,103.0,-3.613221305872138
25.0,4.0,102.0,104.0,-3.6119439948896814
25.0,4.0,103.0,101.0,-3.60210624603283
25.0,4.0,103.0,102.0,-3.594838190447071
25.0,4.0,103.0,103.0,-3.5952051921312744
25.0,4.0,103.0,104.0,-3.604432925983716
25.0,4.0,104.0,101.0,-3.587268261951967
25.0,4.0,104.0,102.0,-3.585860099680094
25.0,4.0,104.0,103.0,-3.5863507172904585
25.0,4.0,104.0,104.0,-3.5869584709199493
25.0,4.0,105.0,101.0,-3.550548825128289
25.0,4.0,105.0,102.0,-3.5507078983502858
25.0,4.0,105.0,103.0,-3.550788956662404
25.0,4.0,105.0,104.0,-3.5505759653382816
25.0,5.0,101.0,101.0,-3.583594772032783
25.0,5.0,101.0,102.0,-3.582924527557818
25.0,5.0,101.0,103.0,-3.5834905838849576
25.0,5.0,101.0,104.0,-3.5831534420404894
25.0,5.0,102.0,101.0,-3.62277245046363
25.0,5.0,102.0,102.0,-3.622922858782922
25.0,5.0,102.0,103.0,-3.623330491591787
25.0,5.0,102.0,104.0,-3.622890566887947
25.0,5.0,103.0,101.0,-3.599491694346982
25.0,5.0,103.0,102.0,-3.5999595015062447
25.0,5.0,103.0,103.0,-3.608510035218024
25.0,5.0,103.0,104.0,-3.5990922791111517
25.0,5.0,104.0,101.0,-3.5965503259210223
25.0,5.0,104.0,102.0,-3.596012685571714
25.0,5.0,104.0,103.0,-3.596914798812595
25.0,5.0,104.0,104.0,-3.5966354751456127
25.0,5.0,105.0,101.0,-3.5571650862099653
25.0,5.0,105.0,102.0,-3.557547612157181
25.0,5.0,105.0,103.0,-3.556565657771113
25.0,5.0,105.0,104.0,-3.557062971158209
2.0,1.0,101.0,101.0,-3.677764581432723
2.0,1.0,101.0,102.0,-3.6737975843868655
2.0,1.0,101.0,103.0,-3.676899313204247
2.0,1.0,101.0,104.0,-3.673743817430423
2.0,1.0,102.0,101.0,-3.7014054020241534
2.0,1.0,102.0,102.0,-3.700675093713604
2.0,1.0,102.0,103.0,-3.7011064926638126
2.0,1.0,102.0,104.0,-3.701808495361051
2.0,1.0,103.0,101.0,-3.735239281803692
2.0,1.0,103.0,102.0,-3.7359617363355744
2.0,1.0,103.0,103.0,-3.735723057424048
2.0,1.0,103.0,104.0,-3.735670151737982
2.0,1.0,104.0,101.0,-3.681166724042603
2.0,1.0,104.0,102.0,-3.6788182029851018
2.0,1.0,104.0,103.0,-3.678293358304228
2.0,1.0,104.0,104.0,-3.6780816433117702
2.0,1.0,105.0,101.0,-3.6632564844485063
2.0,1.0,105.0,102.0,-3.6650586427334053
2.0,1.0,105.0,103.0,-3.660493941201344
2.0,1.0,105.0,104.0,-3.663291897117708
2.0,2.0,101.0,101.0,-3.6348475581198167
2.0,2.0,101.0,102.0,-3.6331470542713786
2.0,2.0,101.0,103.0,-3.631924281266937
2.0,2.0,101.0,104.0,-3.640331335114896
2.0,2.0,102.0,101.0,-3.6620612557851726
2.0,2.0,102.0,102.0,-3.668121796262182
2.0,2.0,102.0,103.0,-3.734867268542547
2.0,2.0,102.0,104.0,-3.670635024470801
2.0,2.0,103.0,101.0,-3.7342277150591876
2.0,2.0,103.0,102.0,-3.727499999985626
2.0,2.0,103.0,103.0,-3.7278817867439558
2.0,2.0,103.0,104.0,-3.7282000254332077
2.0,2.0,104.0,101.0,-3.6360912043313687
2.0,2.0,104.0,102.0,-3.7250913214823522
2.0,2.0,104.0,103.0,-3.6424626013890946
2.0,2.0,104.0,104.0,-3.7250654618553445
2.0,2.0,105.0,101.0,-3.6113308541075226
2.0,2.0,105.0,102.0,-3.6076109680165303
2.0,2.0,105.0,103.0,-3.611325094063077
2.0,2.0,105.0,104.0,-3.6153776942120652
2.0,3.0,101.0,101.0,-3.6375851789985942
2.0,3.0,101.0,102.0,-3.635726501449907
2.0,3.0,101.0,103.0,-3.635651380373254
2.0,3.0,101.0,104.0,-3.6495776520686105
