originnum,destnum,origin,destination,cluster,originlon,originlat,destlon,destlat
21,52,CMH,MCO,3,-82.891899,39.998001,-81.30899810791016,28.429399490356445
22,47,COS,LAS,3,-104.700996,38.805801,-115.151817,36.083361
22,52,COS,MCO,4,-104.700996,38.805801,-81.30899810791016,28.429399490356445
22,70,COS,PHX,2,-104.700996,38.805801,-112.005905,33.435302
23,25,CVG,DEN,3,-84.667801,39.048801,-104.672996521,39.861698150635
23,33,CVG,FLL,3,-84.667801,39.048801,-80.152702,26.072599
23,47,CVG,LAS,3,-84.667801,39.048801,-115.151817,36.083361
23,52,CVG,MCO,4,-84.667801,39.048801,-81.30899810791016,28.429399490356445
23,55,CVG,MIA,4,-84.667801,39.048801,-80.29060363769531,25.79319953918457
23,60,CVG,MSY,1,-84.667801,39.048801,-90.258003,29.993401
23,70,CVG,PHX,1,-84.667801,39.048801,-112.005905,33.435302
23,78,CVG,RSW,4,-84.667801,39.048801,-81.75520324707031,26.53619956970215
23,90,CVG,SRQ,2,-84.667801,39.048801,-82.554359,27.394631
23,93,CVG,TPA,4,-84.667801,39.048801,-82.533203,27.9755
24,25,DCA,DEN,2,-77.037697,38.8521,-104.672996521,39.861698150635
25,1,DEN,ABQ,4,-104.672996521,39.861698150635,-106.608925,35.039976
25,2,DEN,ALB,3,-104.672996521,39.861698150635,-73.80169677734375,42.74829864501953
25,3,DEN,ATL,4,-104.672996521,39.861698150635,-84.428101,33.6367
25,4,DEN,AUS,4,-104.672996521,39.861698150635,-97.662015,30.197535
25,5,DEN,BDL,2,-104.672996521,39.861698150635,-72.688066,41.93851
25,6,DEN,BFM,4,-104.672996521,39.861698150635,-88.06809997559999,30.626800537100003
25,7,DEN,BIL,2,-104.672996521,39.861698150635,-108.542999,45.807701
25,8,DEN,BIS,3,-104.672996521,39.861698150635,-100.74600219726562,46.772701263427734
25,9,DEN,BKG,2,-104.672996521,39.861698150635,-93.1991,36.5385
25,10,DEN,BMI,4,-104.672996521,39.861698150635,-88.915901,40.4771
25,11,DEN,BNA,4,-104.672996521,39.861698150635,-86.6782,36.1245
25,13,DEN,BTV,2,-104.672996521,39.861698150635,-73.153297,44.471901
25,14,DEN,BUF,4,-104.672996521,39.861698150635,-78.732201,42.940498
25,15,DEN,BWI,4,-104.672996521,39.861698150635,-76.668297,39.1754
25,16,DEN,BZN,3,-104.672996521,39.861698150635,-111.153,45.7775
25,18,DEN,CID,4,-104.672996521,39.861698150635,-91.7108,41.884701
25,19,DEN,CLE,4,-104.672996521,39.861698150635,-81.8498,41.411701
25,20,DEN,CLT,4,-104.672996521,39.861698150635,-80.94309997558594,35.2140007019043
25,21,DEN,CMH,4,-104.672996521,39.861698150635,-82.891899,39.998001
25,23,DEN,CVG,4,-104.672996521,39.861698150635,-84.667801,39.048801
