originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
16,25,BZN,DEN,4,1.0,-111.153,45.7775,-104.672996521,39.861698150635
17,69,CHS,PHL,1,0.6747428000996868,-80.040497,32.898602,-75.241096,39.871899
18,25,CID,DEN,1,0.9999999998342375,-91.7108,41.884701,-104.672996521,39.861698150635
18,34,CID,FSD,3,0.22494477362462048,-91.7108,41.884701,-96.741152,43.585463
19,25,CLE,DEN,1,0.9999999999999767,-81.8498,41.411701,-104.672996521,39.861698150635
19,33,CLE,FLL,1,0.9999999990013421,-81.8498,41.411701,-80.152702,26.072599
19,47,CLE,LAS,5,1.0,-81.8498,41.411701,-115.151817,36.083361
19,52,CLE,MCO,4,1.0,-81.8498,41.411701,-81.30899810791016,28.429399490356445
19,55,CLE,MIA,4,1.0,-81.8498,41.411701,-80.29060363769531,25.79319953918457
19,67,CLE,PBI,1,1.0,-81.8498,41.411701,-80.095596,26.683201
19,70,CLE,PHX,3,1.0,-81.8498,41.411701,-112.005905,33.435302
19,78,CLE,RSW,4,1.0,-81.8498,41.411701,-81.75520324707031,26.53619956970215
19,90,CLE,SRQ,1,0.9999999999177616,-81.8498,41.411701,-82.554359,27.394631
19,93,CLE,TPA,4,1.0,-81.8498,41.411701,-82.533203,27.9755
20,25,CLT,DEN,3,1.0,-80.94309997558594,35.2140007019043,-104.672996521,39.861698150635
20,47,CLT,LAS,3,1.0,-80.94309997558594,35.2140007019043,-115.151817,36.083361
20,52,CLT,MCO,1,0.9999999999998204,-80.94309997558594,35.2140007019043,-81.30899810791016,28.429399490356445
20,69,CLT,PHL,4,1.0,-80.94309997558594,35.2140007019043,-75.241096,39.871899
20,94,CLT,TTN,4,0.9999999999996082,-80.94309997558594,35.2140007019043,-74.813499,40.276699
21,23,CMH,CVG,4,0.8872934115294769,-82.891899,39.998001,-84.667801,39.048801
21,25,CMH,DEN,1,0.9999999999999867,-82.891899,39.998001,-104.672996521,39.861698150635
21,52,CMH,MCO,4,0.9999999998747093,-82.891899,39.998001,-81.30899810791016,28.429399490356445
22,47,COS,LAS,5,1.0,-104.700996,38.805801,-115.151817,36.083361
