K,Q,D,mask,burnin,all1,all95,all9,five,ten,fifty
1.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,10.0,2.0,101.0,10000.0,0.12409708737864078,0.08744336569579288,0.06319741100323624,4.207119741100324e-5,3.2362459546925567e-6,0.0
1.0,1.0,2.0,101.0,10000.0,0.064277238403452,0.0497950377562028,0.03907766990291262,0.0,0.0,0.0
1.0,5.0,2.0,101.0,10000.0,0.10911111111111112,0.08018015102481121,0.060471413160733546,1.4023732470334412e-5,1.0787486515641855e-6,0.0
25.0,10.0,2.0,101.0,10000.0,0.22085976267529667,0.1486569579288026,0.09678425026968716,0.00032578209277238406,2.0496224379719525e-5,0.0
25.0,1.0,2.0,101.0,10000.0,0.15276375404530745,0.09397734627831715,0.05469363538295577,0.0005124056094929882,0.00011326860841423948,3.2362459546925567e-6
25.0,5.0,2.0,101.0,10000.0,0.20915210355987054,0.13855555555555554,0.08938295577130528,0.00029665587918015104,9.70873786407767e-6,0.0
50.0,1.0,2.0,101.0,10000.0,0.15777454153182308,0.090915857605178,0.046828478964401295,0.0006289104638619202,0.00015857605177993527,3.2362459546925567e-6
50.0,5.0,2.0,101.0,10000.0,0.22039374325782093,0.14473570658036677,0.09141531823085221,0.00046170442286947144,2.8047464940668825e-5,0.0
5.0,10.0,2.0,101.0,10000.0,0.18206256742179072,0.1250485436893204,0.08508198489751888,0.0001488673139158576,5.393743257820928e-6,0.0
5.0,5.0,2.0,101.0,10000.0,0.15943905070118664,0.10976914778856527,0.07617583603020496,6.68824163969795e-5,4.314994606256742e-6,0.0
