K,Q,D,mask,burnin,all1,all95,all9,five,ten,fifty
1.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
25.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
50.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,10.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,1.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
5.0,5.0,1.0,101.0,10000.0,1.0,1.0,1.0,0.36761057173678535,0.3257713052858684,0.24500215749730314
1.0,10.0,2.0,101.0,10000.0,0.12193527508090615,0.08445738942826321,0.06135922330097087,4.638619201725998e-5,1.8338727076591153e-5,1.6181229773462782e-5
1.0,1.0,2.0,101.0,10000.0,0.06352211434735706,0.049019417475728154,0.03846709816612729,0.0,0.0,0.0
1.0,5.0,2.0,101.0,10000.0,0.10714023732470335,0.07810355987055016,0.05914886731391586,9.70873786407767e-6,0.0,0.0
25.0,10.0,2.0,101.0,10000.0,0.2200571736785329,0.14330312837108955,0.09196008629989212,0.0003074433656957929,2.5889967637540453e-5,1.4023732470334412e-5
25.0,1.0,2.0,101.0,10000.0,0.15110463861920173,0.0893764832793959,0.05138079827400216,0.0005253505933117584,0.00013915857605177994,1.8338727076591153e-5
25.0,5.0,2.0,101.0,10000.0,0.208235167206041,0.1330938511326861,0.08485113268608414,0.000267529665587918,2.2653721682847896e-5,1.1866235167206041e-5
50.0,1.0,2.0,101.0,10000.0,0.15602588996763753,0.08569471413160734,0.04280474649406688,0.0006461704422869471,0.00018338727076591153,2.3732470334412082e-5
50.0,5.0,2.0,101.0,10000.0,0.2198522114347357,0.13916504854368933,0.08662028047464941,0.00042826321467098164,4.099244875943905e-5,1.1866235167206041e-5
5.0,10.0,2.0,101.0,10000.0,0.18067529665587917,0.12098597626752966,0.08157173678532902,0.00012081984897518878,1.4023732470334412e-5,6.472491909385113e-6
5.0,5.0,2.0,101.0,10000.0,0.157428263214671,0.10615857605177993,0.07354261057173679,6.580366774541532e-5,1.8338727076591153e-5,1.5102481121898598e-5
