K,Q,D,mask,burnin,all1,all95,all9,five,ten,fifty
1.0,10.0,1.0,101.0,10000.0,0.10780582524271845,2.157497303128371e-6,0.0,0.0,0.0,0.0
1.0,1.0,1.0,101.0,10000.0,0.06679288025889968,0.0,0.0,0.0,0.0,0.0
1.0,5.0,1.0,101.0,10000.0,0.10896008629989212,0.0,0.0,0.0,0.0,0.0
25.0,10.0,1.0,101.0,10000.0,0.1739244875943905,9.70873786407767e-6,0.0,0.0,0.0,0.0
25.0,1.0,1.0,101.0,10000.0,0.11667853290183387,1.0787486515641855e-6,0.0,4.314994606256742e-6,0.0,0.0
25.0,5.0,1.0,101.0,10000.0,0.16298597626752967,4.314994606256742e-6,0.0,1.0787486515641855e-6,1.0787486515641855e-6,0.0
50.0,10.0,1.0,101.0,10000.0,0.17124271844660194,4.314994606256742e-6,0.0,1.0787486515641855e-6,0.0,0.0
50.0,1.0,1.0,101.0,10000.0,0.0959546925566343,2.157497303128371e-6,0.0,2.157497303128371e-6,0.0,0.0
50.0,5.0,1.0,101.0,10000.0,0.165655879180151,5.393743257820928e-6,0.0,1.0787486515641855e-6,0.0,0.0
5.0,10.0,1.0,101.0,10000.0,0.15515318230852213,3.2362459546925567e-6,0.0,1.0787486515641855e-6,0.0,0.0
5.0,1.0,1.0,101.0,10000.0,0.09365695792880259,0.0,0.0,0.0,0.0,0.0
5.0,5.0,1.0,101.0,10000.0,0.14747141316073356,4.314994606256742e-6,0.0,0.0,0.0,0.0
1.0,10.0,2.0,101.0,10000.0,0.12925026968716288,0.0028727076591154263,0.0004897518878101403,2.8047464940668825e-5,1.0787486515641855e-6,0.0
1.0,1.0,2.0,101.0,10000.0,0.06988133764832793,6.040992448759439e-5,1.0787486515641855e-6,0.0,0.0,0.0
1.0,5.0,2.0,101.0,10000.0,0.11120927723840346,0.0008781014023732471,5.1779935275080907e-5,7.551240560949299e-6,0.0,0.0
25.0,10.0,2.0,101.0,10000.0,0.2668079827400216,0.01987378640776699,0.004645091693635383,0.0002988133764832794,1.0787486515641855e-5,0.0
25.0,1.0,2.0,101.0,10000.0,0.18402804746494067,0.009372168284789643,0.002969795037756203,0.0005199568500539374,0.0001272923408845739,5.393743257820928e-6
25.0,5.0,2.0,101.0,10000.0,0.2557313915857605,0.01605393743257821,0.0035685005393743256,0.00025782092772384037,1.4023732470334412e-5,0.0
50.0,1.0,2.0,101.0,10000.0,0.177344120819849,0.011063646170442287,0.00361596548004315,0.0006321467098166127,0.00016828478964401295,8.629989212513484e-6
50.0,5.0,2.0,101.0,10000.0,0.27129881337648326,0.020898597626752967,0.005193096008629989,0.00041316073354908306,3.0204962243797196e-5,0.0
5.0,10.0,2.0,101.0,10000.0,0.22007659115426106,0.010851132686084142,0.0022578209277238402,0.00011111111111111112,7.551240560949299e-6,0.0
5.0,5.0,2.0,101.0,10000.0,0.19280258899676375,0.004500539374325782,0.0007389428263214671,4.854368932038835e-5,2.157497303128371e-6,0.0
