"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Republican","ALLOWAY, II, RICHARD","28,128","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Democratic","NEYLON, BRUCE","13,150","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL, DAN P","21,007","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN, WILL F","10,514","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","MCNEVIN, ANTHONY","3,984","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Republican","RAJA, D","56,432","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Democratic","SMITH, MATT","66,134","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","43rd Senatorial District","Democratic","COSTA, JR, JAY","94,779","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","45th Senatorial District","Democratic","BREWSTER, JAMES R","59,674","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","47th Senatorial District","Republican","VOGEL, JR, ELDER A","682","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Senator in the General Assembly","47th Senatorial District","Democratic","VILLELLA, KIMBERLY PAZZANITA","519","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Republican","CODER, KATHY","6,944","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","MATZIE, ROBERT F","5,725","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","WHEATLEY, JAKE","20,942","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","RAVENSTAHL, ADAM J","19,909","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Constitution","BARR, JAMES W","4,453","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","COSTA, DOM","22,772","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Republican","CRATSLEY, CHRIS","9,292","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","MOLCHANY, ERIN C","17,512","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL, DAN B","26,742","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","GAINEY, ED","26,032","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Republican","DOYLE, MIKE","10,451","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Democratic","MARKOSEK, JOSEPH","13,840","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Democratic","DEASY, JR, DANIEL J","21,034","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Republican","TURZAI, MIKE","30,236","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Republican","ENGLISH, HAL","19,945","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Democratic","TUSICK, DAVID T","15,252","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Republican","PALADIN, JR, LAWRENCE G","7,229","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Democratic","DELUCA, ANTHONY M","21,597","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Republican","VAEREWYCK, GERRY","11,203","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Democratic","DERMODY, FRANK","16,101","0","0","","","","","","","","",""
