id	filename	md5	size	state
a36c99ec-753c-4859-9082-b077434a3f23	efee1a58-1e28-43d2-92bf-37f8b9107312.rna_seq.augmented_star_gene_counts.tsv	f4f2c72cc8ae58c28bda7b6f03927c77	4264013	released
c7985505-df33-4c0e-98bb-188003ea701f	6c975753-106b-45bb-bf7d-146740004db1.rna_seq.augmented_star_gene_counts.tsv	54f2b3f15dcbb84841f125db54f2f84d	4254185	released
590af49d-2e1d-4cad-ab8c-9abe3c7558b0	40ac3474-e908-43db-861b-98e9bfb61739.rna_seq.augmented_star_gene_counts.tsv	cf963850521b74345ba4f9ee87a0317c	4267675	released
98e7190a-4d3a-4fdb-a021-c482f87e65f2	da658a99-8972-473e-9754-9712be0b1b25.rna_seq.augmented_star_gene_counts.tsv	c76ee2654bfa534d856a18d99025dade	4246089	released
dee51224-652b-4656-902c-f1b18bed8aa1	52c2c5f4-4395-4764-bf22-9fa84bf2f5c2.rna_seq.augmented_star_gene_counts.tsv	0fa3cfb6320f562f80f156104b8488ce	4268276	released
3da6be11-66bd-437b-9ce6-87e63beedbec	20f5e7d5-0faf-47f6-9e7c-ecef50a58288.rna_seq.augmented_star_gene_counts.tsv	42cc209227c3f7ebdc21f6b98a0de5e6	4272631	released
a1a6d1dd-a1c6-4c5c-b54d-42de80680bc3	dc857517-6b3d-4008-85a4-a2b35efb1e7a.rna_seq.augmented_star_gene_counts.tsv	a05e5bb7a8d0e00e1ad35ed3adb5096f	4232153	released
0ed77a2e-a2c9-4557-8ba3-2c8bade9b792	5842a066-d158-474e-a4db-034f5797d865.rna_seq.augmented_star_gene_counts.tsv	2e711c88d20f77ee4f2f2a19f42d4ef1	4228051	released
1ace2a0c-773d-45b5-8fd6-968c88731bbb	c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv	ff767304460d3385c372d7e0818cb45a	4239626	released
50c7c034-fccb-4eb1-b8db-e0a5d9e50172	d820ac02-a30e-437b-b20a-3e92705b7b81.rna_seq.augmented_star_gene_counts.tsv	02094f85d2455a5a0d197798716cc7af	4237798	released
