"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",3.33066907387547e-16,3.80806497446429e-14,1.54187773659942e-12,3.51614293236935e-11,5.29460808529336e-10,5.76113134975742e-09,4.7996369767489e-08,3.18743865523885e-07,1.73825484728329e-06,7.96404443426102e-06,3.12142944369764e-05,0.000106205439106444,0.000317534810931552,0.00084281033788336,0.0020033341264285,0.00429670116851333,0.0083700840511054,0.0148952923517699,0.0243399521641355,0.0366884983683133,0.0512230383817494,0.0664872835409972,0.0805032405464975,0.0912061352821646,0.0969599077073547,0.0969706227515509,0.091454040173185,0.0815149970660863,0.0688068992721918,0.0551076949874965,0.0419515980036665,0.0304060999191958,0.0210147057655988,0.0138697747548571,0.00875375677667171,0.00529004794858849,0.00306474547071371,0.00170411767406693,0.000910435541676135,0.000467835127083072,0.000231450069721439,0.000110343948983259,5.07402734866511e-05,2.25236303805463e-05,9.65954432331932e-06,4.00537474383822e-06,1.6070109497612e-06,6.24296379504677e-07,2.34992138138618e-07,8.57607401018002e-08,3.036457053035e-08
"2",0,0,5.55111512312578e-16,3.40838468559923e-14,1.2250200853714e-12,2.87838641810367e-11,4.76404915517037e-10,5.85153370202818e-09,5.54373243977224e-08,4.17340423441992e-07,2.55617409150588e-06,1.29850740880899e-05,5.55867897608087e-05,0.000203237550407298,0.000641984137378371,0.00176945403319895,0.00429248166723695,0.00923511546307432,0.0177410140718837,0.0306154748242831,0.047718693631984,0.067507552781548,0.0870698587249793,0.102801697944435,0.111523512523878,0.111545600761653,0.103187975815594,0.0885451395887465,0.0706702018140282,0.052594345533089,0.0365842755437715,0.0238373346644235,0.0145788668227148,0.0083855791116435,0.00454439596351299,0.00232433217618768,0.00112383508839596,0.000514463436788601,0.000223297527245907,9.20212689621748e-05,3.60524518914636e-05,1.34450745681422e-05,4.77845102962026e-06,1.62030302617139e-06,5.24756475021585e-07,1.62486852228203e-07,4.81508971113817e-08,1.36686271645635e-08,3.72024268498717e-09,9.71670333880047e-10,2.43740814033968e-10
"3",0,0,0,0,0,7.7715611723761e-16,4.65183447317941e-14,1.93600691034135e-12,5.48152634394228e-11,1.10441722434018e-09,1.63923825624579e-08,1.84363479149852e-07,1.60842112628679e-06,1.11018343618152e-05,6.16587054189655e-05,0.000279603469172107,0.00104852979769487,0.00328845518785759,0.0087118692974768,0.0196704522811187,0.0381580288206497,0.0640585593383488,0.093680912406807,0.120066184659271,0.135606434823976,0.135653817381041,0.12075583963169,0.0960704973292446,0.0685842570359383,0.0440998805864257,0.0256298754405269,0.0135073829698722,0.00647503780404522,0.00283145605448187,0.00113253139346798,0.000415406051874896,0.000140063553809699,4.35109124901222e-05,1.24804656047053e-05,3.31217754151331e-06,8.14878386764688e-07,1.8619723863299e-07,3.95841633762273e-08,7.84275058040568e-09,1.4504799030691e-09,2.5079454213209e-10,4.05999208369875e-11,6.16231059686221e-12,8.78129125749942e-13,1.17633441783082e-13,1.48319966949716e-14
