"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",2.76487165516904e-09,5.80297855349863e-09,1.1922037141904e-08,2.39855784661996e-08,4.7273770673607e-08,9.13112879632889e-08,1.72910283122306e-07,3.21115791700867e-07,5.85051441465368e-07,1.04606825767499e-06,1.83610211744216e-06,3.1647338764272e-06,5.35808403184654e-06,8.9132912767526e-06,1.45728102689122e-05,2.34229613243204e-05,3.70208729512142e-05,5.75529454901252e-05,8.80259932562666e-05,0.00013248909006691,0.000196279732007986,0.0002862822723422,0.000411179915205503,0.000581674371807403,0.000810640356744168,0.00111317646038392,0.00150651078634269,0.00200972035312484,0.00264322875841292,0.00342805778006805,0.0043848256609427,0.00553250726473077,0.00688699770449794,0.00845954918080798,0.0102551776471234,0.0122711581302503,0.0144957416173855,0.0169072293629302,0.0194735301785311,0.0221523020072789,0.0248917417297984,0.0276320392830644,0.0303074578987498,0.0328489468229823,0.035187142040696,0.0372555699079414,0.0389938429255916,0.0403506293880237,0.0412861905776573,0.0417743096757024,0.0418034826957542,0.0413772989051385,0.0405140006487099,0.0392452740869754,0.0376143772769718,0.0356737554052109,0.0334823214424164,0.0311025924021837,0.0285978669266121,0.0260296109012843,0.023455187309001,0.0209260284684776,0.0184863073753266,0.0161721240883691,0.0140111864227057,0.012022934195441,0.0102190344902926,0.00860416242144734,0.00717697733867605,0.00593120726165664,0.00485676301577787,0.00394081627762276,0.00316879072044256,0.00252523103410907,0.00199452942282257,0.00156150225583982,0.00121182023289956,0.000932303445537257,0.000711098079345884,0.000537754443004985,0.000403226905332556,0.000299815623595841,0.00022106812060667,0.000161656248870753,0.000117241239658978,8.43366681359403e-05,6.01764859565375e-05,4.25929168392837e-05,2.99070495526966e-05,2.0833415381057e-05,1.4398684535212e-05,9.87381477177474e-06,6.71847924644141e-06,4.53632876214702e-06,3.03954770133657e-06,2.02119094503671e-06,1.33389727563055e-06,8.73728496343862e-07,5.68056843637281e-07,3.6659799389521e-07,2.34851253262189e-07
"2",1.39628113860829e-10,3.35769459432331e-10,7.87311134944789e-10,1.80093198854916e-09,4.02063800364838e-09,8.76461867701377e-09,1.8663716966105e-08,3.88392089897283e-08,7.90175452250377e-08,1.57226398897366e-07,3.06082423201656e-07,5.83202201034068e-07,1.08797648030853e-06,1.98786250258662e-06,3.55845865635925e-06,6.24286738819097e-06,1.07370887385964e-05,1.81091825998372e-05,2.99603450162965e-05,4.86354055110149e-05,7.74880332757625e-05,0.000121201594630307,0.000186159685850703,0.000280850672531014,0.000416278308780041,0.000606336465806287,0.000868091626302838,0.00122190424395903,0.00169131203281677,0.00230259771276247,0.00308397348011207,0.00406433651619773,0.00527158483587128,0.00673052945005114,0.00846049369106521,0.0104727479517612,0.0127679805902428,0.0153340450322961,0.0181442411562763,0.0211563795519565,0.0243128368882567,0.0275417400796115,0.0307593213141706,0.0338733745746432,0.0367876294969287,0.0394067542876657,0.0416416195444993,0.0434144102984734,0.0446631713059518,0.0453454120713025,0.0454404791108146,0.0449505142751756,0.0438999464498029,0.0423335946745371,0.040313578912867,0.0379153278219514,0.035223032169653,0.0323249139444088,0.0293086654903056,0.0262573652739815,0.0232461054771599,0.0203394816405551,0.017590006504023,0.0150374283991958,0.0127088664115683,0.0106196247538093,0.00877451931084913,0.0071695395160785,0.00579367596989816,0.00463076456480219,0.00366122678079744,0.00286361875398287,0.00221593474463471,0.00169664066177093,0.00128543828120985,0.000963779670756785,0.000715163929018717,0.000525255142892417,0.000381862403528078,0.000274820944168515,0.000195809166282958,0.000138130595103032,9.64835603966745e-05,6.67353184108195e-05,4.57118763212282e-05,3.10102093312356e-05,2.08359672420562e-05,1.38671265089328e-05,9.14225254907414e-06,5.97095121512415e-06,3.86355078631704e-06,2.47691628151513e-06,1.57342493768903e-06,9.90418466855266e-07,6.17812994512404e-07,3.81933879865897e-07,2.34012481030858e-07,1.42113728856715e-07,8.55471122128554e-08,5.10472973572572e-08,3.01969907512664e-08
"3",6.96765108694317e-12,1.9197604730488e-11,5.13757227996396e-11,1.33616488918206e-10,3.37897773928241e-10,8.31298910502209e-10,1.99063247904912e-09,4.64188863676102e-09,1.05455355889633e-08,2.33510567402268e-08,5.04191568127203e-08,1.0619809854143e-07,2.18295670077519e-07,4.38076757777074e-07,8.58610442623233e-07,1.64415230670965e-06,3.07710317045813e-06,5.6304845169815e-06,1.00762356209475e-05,1.76417065261727e-05,3.02280024050877e-05,5.07034884126195e-05,8.32827409925574e-05,0.000133994395850988,0.000211229694163432,0.000326346523078983,0.000494281682752775,0.000734098511861063,0.00106937088219144,0.00152828247323157,0.00214330791097527,0.0029503460201008,0.00398720063558562,0.00529135459360131,0.00689705758516451,0.00883184377656357,0.0111127006698645,0.0137422122628804,0.0167050799720761,0.0199654665884811,0.0234655973766124,0.0271259802483655,0.0308474745842427,0.0345152566558799,0.038004519119086,0.0411875300351588,0.0439414935189862,0.0461565274417452,0.0477430246049443,0.0486377024891633,0.0488077701516187,0.0482528334972469,0.0470043962005201,0.0451230613169136,0.0426937656713956,0.0398195573929016,0.0366145368872078,0.0331966143933996,0.0296806956386779,0.0261728034321533,0.0227654967210778,0.0195347823741141,0.0165385510544678,0.0138164257657444,0.0113908031284503,0.00926879976676008,0.00744478964786189,0.005903227949833,0.00462149468099363,0.00357254682991548,0.00272723132266235,0.00205617386912886,0.00153121439939499,0.00112640417696585,0.000818611119304344,0.000587798583049673,0.000417050486413577,0.000292414541265762,0.000202628218416955,0.000138781403569648,9.39576534373254e-05,6.28841410703098e-05,4.16098501146212e-05,2.72229136033236e-05,1.7611377335057e-05,1.12670075251848e-05,7.12879517529236e-06,4.46119493964648e-06,2.76152186506582e-06,1.69099452216466e-06,1.02439172626139e-06,6.13978704369722e-07,3.64113437204434e-07,2.1367246740378e-07,1.24085416239864e-07,7.131561855707e-08,4.05668498536268e-08,2.28407940261254e-08,1.27301798473469e-08,7.02378244975959e-09,3.83663140893449e-09
"4",3.44600403822921e-13,1.0878493674526e-12,3.32265584584694e-12,9.82513808532469e-12,2.81443713193214e-11,7.81442919897568e-11,2.10426240284537e-10,5.49838216109148e-10,1.39485676696622e-09,3.43718948690007e-09,8.23130378331599e-09,1.91659429618493e-08,4.34096815670539e-08,9.56819344030601e-08,2.05327099368559e-07,4.2915665002104e-07,8.74004033708828e-07,1.73503625147466e-06,3.3586572196144e-06,6.34226682385629e-06,1.16869213675886e-05,2.10224442802553e-05,3.69266786476232e-05,6.33597807372528e-05,0.000106228738223662,0.000174084520697109,0.000278932635374904,0.00043710661418368,0.000670114220911947,0.00100532170737522,0.00147629912765742,0.00212261931542509,0.00298889627458945,0.00412287689655633,0.00557247157869869,0.00738172682544698,0.00958589975529208,0.0122059738293492,0.0152431306730566,0.0186738317811303,0.0224462325003777,0.0264786214627064,0.030660437343421,0.034856165878096,0.0389120887206972,0.0426654858352055,0.0459555406776534,0.0486349207645051,0.0505808548410047,0.0517045324069662,0.0519578169782886,0.0513365691558091,0.0498802739588315,0.0476680985971996,0.0448119077268599,0.0414470767674437,0.0377221306935204,0.0337882792014956,0.0297898262891923,0.0258562301679814,0.0220963184980047,0.0185948696442075,0.0154114953824428,0.012581537241102,0.0101185373951028,0.00801777183724686,0.00626033238967015,0.00481730016994714,0.00365364692864041,0.00273161207200994,0.00201341447221097,0.0014632560798261,0.0010486508326098,0.000741164308774038,0.000516677933044391,0.000355299971197866,0.000241039116300751,0.000161340530907921,0.000106563582942067,6.94590097629448e-05,4.46834985584173e-05,2.83731953202691e-05,1.77850399702404e-05,1.1005995649034e-05,6.72470845324522e-06,4.05721791859152e-06,2.41732181598323e-06,1.42243289838573e-06,8.26722242438983e-07,4.74631702032612e-07,2.69191512638146e-07,1.50838134366139e-07,8.35109160601636e-08,4.56871707814604e-08,2.47001908618385e-08,1.3197661531131e-08,6.9697854943443e-09,3.63833114435809e-09,1.87749845690753e-09,9.57822893812182e-10,4.83117037823346e-10
"5",3.74279054153541e-15,1.44906211074629e-14,5.39649952860259e-14,1.93460468015314e-13,6.680924197737e-13,2.22404205445974e-12,7.14165342901145e-12,2.21350694706909e-11,6.62608086969013e-11,1.91683415207727e-10,5.36184021409708e-10,1.45106219490492e-09,3.80132041681429e-09,9.64462195676762e-09,2.37113942158856e-08,5.65148016266215e-08,1.30649022954643e-07,2.93081489916343e-07,6.38267006123617e-07,1.35000707156094e-06,2.77441735959123e-06,5.54226038167535e-06,1.07659848051122e-05,2.03441651219025e-05,3.74117705795616e-05,6.69757469024016e-05,0.00011676756149199,0.000198322774823429,0.000328257921040057,0.000529654738349343,0.000833383154631451,0.0012791059224046,0.00191562561144889,0.00280018213100803,0.00399631338458578,0.00556997846350942,0.00758382745133496,0.0100897816493529,0.0131204355843001,0.0166801545360352,0.0207370455131298,0.0252171456014497,0.0300021308714948,0.0349315642416087,0.0398101813970791,0.0444200226550808,0.0485364646385649,0.0519465250367034,0.0544673416102623,0.0559625660259844,0.0563546101282385,0.0556312132965982,0.0538455748914758,0.0511101785982745,0.047585271305299,0.0434636086321902,0.0389534457616977,0.0342617983882019,0.0295797482888929,0.0250710953129042,0.020865066223232,0.0170531903481574,0.0136899361998674,0.0107963353773123,0.00836562695113738,0.00636992975689082,0.00476705864412174,0.00350679679491317,0.00253617032189927,0.00180350073309051,0.00126120493345214,0.000867454591446716,0.000586892985049997,0.000390643430835034,0.000255840317276132,0.000164884863396576,0.000104585512366902,6.52974041060561e-05,4.01335712527869e-05,2.42862362838726e-05,1.44712265055352e-05,8.49169876761485e-06,4.90770610212713e-06,2.79387579409417e-06,1.56685687702874e-06,8.65752234057748e-07,4.71354474343178e-07,2.52893885759334e-07,1.33724809074457e-07,6.96970209989363e-08,3.58088170507909e-08,1.81377569841838e-08,9.0581335571608e-09,4.46065335423111e-09,2.16623376228034e-09,1.0375311528544e-09,4.90148032783067e-10,2.28414896728087e-10,1.05010523436834e-10,4.76312650579031e-11,2.13177531010893e-11
"6",1.94679653308759e-18,1.05911438972406e-17,5.48886127100528e-17,2.71231624434194e-16,1.27909755909631e-15,5.76162105585107e-15,2.48097488758582e-14,1.02207549034716e-13,4.03144495843888e-13,1.52362626400212e-12,5.5213854836928e-12,1.91986736508513e-11,6.40973016776407e-11,2.05606158253457e-10,6.34065214735326e-10,1.88104108458064e-09,5.37138382618583e-09,1.47722593954151e-08,3.91491545874192e-08,1.00033947231693e-07,2.46575572772638e-07,5.86613324643122e-07,1.34762303934861e-06,2.99094909553128e-06,6.41619370769019e-06,1.33098160489096e-05,2.67107336839388e-05,5.18808101307554e-05,9.75703779024001e-05,0.0001777452499757,0.000313776764741626,0.000536977363642273,0.000891187511789431,0.00143489990185803,0.00224218341295646,0.00340150854183918,0.0050115628649455,0.00717336279038301,0.00997846779583724,0.01349387206005,0.0177450839902479,0.0226998152832177,0.0282553375256432,0.034232677830666,0.0403802481608876,0.0463882207418306,0.0519131494415032,0.0566103430044307,0.0601697686695205,0.0623502357661034,0.0630065710075284,0.0621055132215784,0.0597279309263453,0.0560572970520322,0.0513566337832208,0.0459378903528557,0.0401286110859311,0.0342406837817204,0.0285450484776163,0.0232547826512065,0.01851732788247,0.0144151316933143,0.0109728969950978,0.00816907603641585,0.00594919980185624,0.00423898323194635,0.00295572803102909,0.00201719350276111,0.0013476908727547,0.000881598065147559,0.000564761727474678,0.00035436398499752,0.000217819995599372,0.000131184556396801,7.74241137595914e-05,4.47866888003746e-05,2.53962934720234e-05,1.41191573865316e-05,7.6971792416349e-06,4.11533381671397e-06,2.15821363955159e-06,1.1103603330075e-06,5.60501598076409e-07,2.77648606091181e-07,1.34983674513291e-07,6.44161211163042e-08,3.0178318905371e-08,1.38816589540527e-08,6.27034445668996e-09,2.78164781624425e-09,1.21207585147313e-09,5.18835593072073e-10,2.18200954278671e-10,9.01704623765649e-11,3.66189435766378e-11,1.46161688102051e-11,5.73454751500001e-12,2.2118392646072e-12,8.38777978060723e-13,3.12772883050199e-13,1.1469611043973e-13
"7",4.9861288121564e-25,5.35608489585869e-24,5.37545615568616e-23,5.04695409828421e-22,4.43844425844588e-21,3.66050438415663e-20,2.83440830187232e-19,2.06290862213047e-18,1.41273787342214e-17,9.1129528216001e-17,5.54254617742869e-16,3.18151864047301e-15,1.7252146341658e-14,8.8456710484504e-14,4.29220494387454e-13,1.97271013919204e-12,8.5948653422025e-12,3.55268614228026e-11,1.39429677239045e-10,5.19951671876954e-10,1.84373887779935e-09,6.22120865481217e-09,1.99889786691026e-08,6.11984141989707e-08,1.7865234622973e-07,4.9759255844444e-07,1.32314024226488e-06,3.3609953746363e-06,8.16049268687143e-06,1.89496474686189e-05,4.21081106040848e-05,8.95875713737772e-05,0.000182590784544149,0.000356685213502144,0.000668170318105613,0.00120088249362819,0.00207174122934472,0.00343239846691227,0.00546371353906628,0.00835992675898996,0.0123007973603298,0.0174127740872644,0.0237241217630825,0.0311228528204447,0.039328871584703,0.0478915002459615,0.0562197229185986,0.0636454271336057,0.0695113166940817,0.0732675903437544,0.0745575250404003,0.0732733840394811,0.0695705157145767,0.0638373000818504,0.0566288050901713,0.0485796549270505,0.0403147036509542,0.0323742580686632,0.0251649605941747,0.0189401357069749,0.0138066483253915,0.00975073630454967,0.00667350371990004,0.00442750366367623,0.00284820683362954,0.00177708686710961,0.00107568538896297,0.000631850492107376,0.000360252395250905,0.000199421549644718,0.000107205557612842,5.59819572811395e-05,2.84032636878456e-05,1.40048973568805e-05,6.71248930366119e-06,3.12808204664475e-06,1.41762316829615e-06,6.24924215222916e-07,2.6802298166798e-07,1.11863298908722e-07,4.54428398916416e-08,1.79719625098689e-08,6.92095968230157e-09,2.59576367381093e-09,9.48370269286185e-10,3.37589799388717e-10,1.17106960959877e-10,3.95949957101474e-11,1.30509784448328e-11,4.1944096708066e-12,1.3146262373707e-12,4.01897195792744e-13,1.19863055716898e-13,3.48809888658151e-14,9.90603004269518e-15,2.74594103694335e-15,7.43080366751524e-16,1.96338147814535e-16,5.06603586849307e-17,1.27672068710607e-17,3.14308454606343e-18
"8",6.00235422352662e-35,1.78894941354978e-33,4.83847678008129e-32,1.18975251758848e-30,2.66449649087204e-29,5.44413673490573e-28,1.01652065736344e-26,1.73727771812249e-25,2.72180245201924e-24,3.91492874590299e-23,5.17719984365117e-22,6.30337396486553e-21,7.07525253082602e-20,7.33105566886697e-19,7.0209190659217e-18,6.22235095612514e-17,5.1093087134045e-16,3.89148580016827e-15,2.75231543587045e-14,1.80958951562293e-13,1.10717734468478e-12,6.31034009669373e-12,3.35364897588237e-11,1.66352994136058e-10,7.70902302161668e-10,3.34056821784138e-09,1.35481408420606e-08,5.14699084990312e-08,1.83319093909278e-07,6.12631840538963e-07,1.9225469266065e-06,5.66994928009599e-06,1.57266865648712e-05,4.1055759315728e-05,0.000100949687216375,0.000233957875142951,0.000511414139773874,0.0010551246945829,0.0020559746052095,0.00378612573140445,0.00659340577544314,0.0108650107872434,0.0169518985397776,0.0250571066156651,0.0351090414220565,0.0466582305730279,0.0588436249843662,0.070464125580832,0.0801613472686008,0.0866794913278852,0.0891340568149702,0.0872095656833538,0.0812251616070159,0.0720496341364893,0.0608965098353155,0.0490651608037826,0.0377025929630521,0.0276426484323164,0.0193458667499886,0.0129295384404938,0.00825556716700837,0.00503801365748353,0.00293965623263813,0.00164070933189174,0.000876263477641716,0.000447994650705796,0.000219336142629603,0.000102874612411524,4.62408165697608e-05,1.99259027793457e-05,8.23453530777672e-06,3.2646720697206e-06,1.24213194086388e-06,4.53700744246804e-07,1.59143309443355e-07,5.36247943091871e-08,1.73636184096995e-08,5.40441819583131e-09,1.61743344279109e-09,4.65591653542979e-10,1.28948336543692e-10,3.43705581685485e-11,8.81950576103409e-12,2.17928165331504e-12,5.18700528055029e-13,1.18952936310516e-13,2.62910507998747e-14,5.6018622822619e-15,1.15097082462715e-15,2.28095980936942e-16,4.36118765344787e-17,8.04704685202908e-18,1.43325058351466e-18,2.46472947771019e-19,4.09339936620507e-20,6.56706668104516e-21,1.01796879770003e-21,1.52501849928401e-22,2.20848195061533e-23,3.09235846510557e-24,4.18755819387546e-25
"9",4.03593653541124e-68,3.6101814947827e-65,2.65939022282354e-62,1.61923484149052e-59,8.17821851214682e-57,3.43809825240979e-54,1.20704783628064e-51,3.55027826350799e-49,8.77544050574454e-47,1.828248720401e-44,3.2196542956156e-42,4.80615044108599e-40,6.09771236236234e-38,6.59246614269016e-36,6.08884104517742e-34,4.81601175692963e-32,3.26990135602405e-30,1.91017471811866e-28,9.62211258214511e-27,4.18857209415578e-25,1.5789633995838e-23,5.16505611628376e-22,1.46904990133878e-20,3.63994159744314e-19,7.87161213409674e-18,1.48846120908678e-16,2.46540383089855e-15,3.58316892549074e-14,4.57728257970774e-13,5.14781913623632e-12,5.10516611977082e-11,4.4714271343446e-10,3.46412936857256e-09,2.37738570519333e-08,1.44741561898677e-07,7.82871469102734e-07,3.7669722582867e-06,1.61467962093445e-05,6.17370837262711e-05,0.000210830050489265,0.000643863619577138,0.00176062324670348,0.00431593233018715,0.00949580110584598,0.0187732533832819,0.0333879655970992,0.0534766379146907,0.0772206087505941,0.100637289761207,0.118493207272415,0.126176920316842,0.121633345925136,0.106252071127728,0.0841882778322829,0.0605626264228073,0.0395911556315507,0.0235410589201668,0.0127430881049146,0.00628526508825697,0.0028271255023651,0.00116065916464967,0.000435272655984783,0.000149233947534053,4.68133435222255e-05,1.34464492036378e-05,3.53928618075666e-06,8.54323310615853e-07,1.89256196304635e-07,3.85049445772214e-08,7.20001426763352e-09,1.23824722936365e-09,1.95992805727409e-10,2.85711875263638e-11,3.83851856685438e-12,4.75590600108236e-13,5.43775455184457e-14,5.74117278873916e-15,5.60079757436456e-16,5.05168949356457e-17,4.21527598012495e-18,3.25595923659547e-19,2.32944505338842e-20,1.54454166125333e-21,9.49663367541472e-23,5.41761539417848e-24,2.86917444395328e-25,1.41141373211116e-26,6.45260581661744e-28,2.74303115075545e-29,1.08484878125104e-30,3.99369888447464e-32,1.36921188039094e-33,4.3739486817774e-35,1.30256611723006e-36,3.61793970120683e-38,9.37708322098876e-40,2.26895394578631e-41,5.12789119606793e-43,1.08294927805823e-44,2.13811913549241e-46,3.94826031008899e-48
