,home,away,hometeam,awayteam
318,39,31,21,27
319,27,25,8,11
320,34,37,24,5
321,31,27,29,13
322,32,28,26,12
323,34,34,14,25
324,36,27,9,7
325,28,27,4,30
326,39,33,1,8
327,25,37,3,16
328,33,31,2,28
329,25,32,6,22
330,33,41,17,14
331,31,26,15,23
332,27,28,27,19
333,28,32,24,11
334,31,28,29,12
335,22,34,10,5
336,25,19,20,7
337,24,35,13,26
338,29,27,4,17
339,38,27,28,22
340,37,37,18,21
341,20,37,10,11
342,25,31,29,25
343,30,33,19,8
344,32,30,27,24
345,25,20,2,3
346,24,28,9,15
347,30,21,20,6
348,39,42,30,14
349,27,29,26,5
350,25,30,25,12
351,35,30,4,13
352,26,25,22,17
353,31,31,1,21
354,29,31,28,3
355,28,22,11,23
356,34,17,15,16
357,24,27,7,24
358,25,28,10,12
359,41,32,6,14
360,23,24,16,9
361,27,19,8,7
362,32,24,22,13
363,37,37,2,4
364,20,26,20,1
365,35,30,28,14
366,35,32,5,30
367,34,20,15,21
368,32,31,17,26
369,36,20,18,12
370,31,20,19,9
371,31,31,29,10
372,29,33,24,3
373,34,20,16,13
374,33,34,27,11
375,28,35,25,8
376,31,28,4,20
377,25,31,12,30
378,32,26,22,28
379,32,36,2,1
380,24,19,6,26
381,30,33,23,14
382,35,25,15,9
383,38,21,19,24
384,26,28,29,18
385,28,27,7,17
386,26,35,16,27
387,26,43,12,2
388,21,21,30,13
389,28,28,6,21
390,35,30,5,7
391,34,26,10,3
392,39,24,8,29
393,30,35,25,18
394,42,36,19,24
395,26,35,9,14
396,32,23,20,26
397,22,24,22,28
398,33,27,23,4
399,34,41,1,5
400,34,21,11,17
401,17,23,12,16
402,26,36,30,2
403,37,25,15,1
404,17,32,7,21
405,37,40,27,6
406,27,36,25,18
407,34,24,13,3
408,27,28,23,26
409,33,18,17,10
410,22,20,11,24
411,34,33,29,19
412,36,27,14,3
413,30,30,4,9
414,28,26,12,10
415,31,32,22,1
416,41,28,28,26
417,37,27,5,20
418,32,13,21,16
419,34,31,27,25
420,16,33,7,6
421,50,29,8,30
422,20,27,13,18
423,35,23,11,16
424,44,22,15,17
425,24,35,29,19
426,22,35,13,24
427,24,26,4,1
428,29,31,9,26
429,24,33,3,22
430,24,31,6,12
431,24,22,23,10
432,32,37,28,2
433,24,20,5,20
434,30,31,21,18
435,27,26,7,25
436,36,30,14,8
437,25,27,13,30
438,23,31,27,16
439,33,21,6,7
440,33,27,11,25
441,30,23,17,29
442,19,22,21,15
443,24,31,24,19
444,19,21,3,22
445,26,31,12,20
446,34,29,9,2
447,27,25,28,10
448,34,30,18,5
449,32,29,8,4
450,35,34,14,30
451,28,26,6,29
452,17,26,23,28
453,36,33,1,22
454,35,29,11,27
455,30,12,18,7
456,24,32,19,17
457,29,28,21,25
458,26,27,24,14
459,33,39,26,4
460,32,27,9,29
461,23,27,16,5
462,28,23,20,10
463,28,27,24,30
464,30,31,8,15
465,31,26,6,17
466,30,25,23,9
467,25,36,1,5
468,26,28,3,12
469,33,29,2,10
470,31,33,20,28
471,24,30,11,22
472,34,21,18,7
473,28,25,21,25
474,31,31,26,14
475,18,28,13,4
476,31,34,19,27
477,26,39,29,30
478,33,32,22,27
479,35,27,23,13
480,37,28,1,9
481,31,34,3,18
482,32,28,2,17
483,28,23,6,28
484,27,31,20,5
485,28,19,16,12
486,29,20,11,7
