,AIR_TIME,DISTANCE,origin,dest
45958,171.0,1476,25,24
45959,200.0,1476,24,25
45990,173.0,1476,25,24
45991,195.0,1476,24,25
45998,83.0,563,25,29
45999,81.0,563,29,25
46010,168.0,1359,25,14
46011,183.0,1359,14,25
46075,133.0,1069,25,23
46076,147.0,1069,23,25
46085,170.0,1337,25,20
46086,179.0,1337,20,25
46089,146.0,1199,25,3
46090,149.0,1199,3,25
46091,148.0,1201,25,19
46092,202.0,1201,19,25
46100,88.0,641,26,25
46107,87.0,692,25,18
46108,121.0,692,18,25
46132,86.0,641,25,26
46133,122.0,641,26,25
46162,203.0,1639,25,13
46163,238.0,1639,13,25
46174,143.0,1199,25,3
46177,224.0,1199,3,25
46183,171.0,1476,25,24
46184,200.0,1476,24,25
46185,86.0,665,25,9
46186,165.0,665,9,25
46189,144.0,1123,25,28
46190,152.0,1123,28,25
46203,125.0,1014,25,11
46204,138.0,1014,11,25
46211,110.0,641,25,26
46235,89.0,641,25,26
46236,90.0,641,26,25
46237,64.0,455,25,7
46238,138.0,455,7,25
46240,109.0,775,25,4
46241,99.0,775,4,25
46252,171.0,1476,25,24
46253,267.0,1476,24,25
46285,88.0,641,25,26
46286,87.0,641,26,25
46290,153.0,1199,3,25
46291,178.0,1476,25,24
46292,193.0,1476,24,25
46311,163.0,1199,25,3
46312,165.0,1199,3,25
46323,174.0,1476,25,24
46324,195.0,1476,24,25
46344,192.0,1337,25,20
46345,173.0,1337,20,25
46361,161.0,1199,25,3
46400,140.0,1123,25,28
46401,160.0,1123,28,25
46403,91.0,641,26,25
46404,104.0,775,25,4
46405,99.0,775,4,25
46406,77.0,589,25,27
46407,87.0,589,27,25
46421,142.0,1201,25,19
46422,164.0,1201,19,25
46434,135.0,1069,25,23
46435,147.0,1069,23,25
46440,138.0,1154,25,21
46441,151.0,1154,21,25
46456,88.0,641,25,26
46457,110.0,641,26,25
46463,93.0,641,25,26
46465,145.0,1201,25,19
46466,157.0,1201,19,25
46492,184.0,1476,25,24
46493,201.0,1476,24,25
46502,160.0,1359,25,14
46503,175.0,1359,14,25
46524,140.0,1069,25,23
46525,147.0,1069,23,25
46529,148.0,1199,25,3
46530,141.0,1199,25,3
46531,150.0,1199,3,25
46532,180.0,1491,25,15
46533,204.0,1491,15,25
46568,125.0,1014,25,11
46569,137.0,1014,11,25
46572,196.0,1610,25,2
46573,208.0,1610,2,25
46583,89.0,641,25,26
46584,93.0,641,26,25
46591,155.0,1199,3,25
46601,138.0,1154,25,21
46602,154.0,1154,21,25
46670,162.0,1337,25,20
46671,182.0,1337,20,25
46687,171.0,1476,25,24
46688,205.0,1476,24,25
46698,88.0,641,25,26
46706,209.0,1671,25,5
46707,237.0,1671,5,25
46708,91.0,641,26,25
46709,104.0,775,25,4
46710,96.0,775,4,25
46715,74.0,524,25,16
46716,81.0,524,16,25
46734,148.0,1154,25,21
46735,147.0,1154,21,25
46741,86.0,641,25,26
46742,89.0,641,26,25
46753,151.0,1123,25,28
46754,146.0,1123,28,25
46757,107.0,834,25,10
46758,112.0,834,10,25
46782,142.0,1069,25,23
46783,143.0,1069,23,25
46784,173.0,1337,25,20
46785,178.0,1337,20,25
46828,175.0,1476,25,24
46829,192.0,1476,24,25
46830,85.0,665,25,9
46831,94.0,665,9,25
46841,144.0,1199,25,3
46844,160.0,1199,3,25
46845,127.0,1014,25,11
46846,133.0,1014,11,25
46865,90.0,641,25,26
46875,154.0,1201,19,25
46876,150.0,1201,25,19
46922,175.0,1476,25,24
46923,187.0,1476,24,25
46950,89.0,641,26,25
46951,104.0,775,25,4
46952,104.0,775,4,25
46953,75.0,589,25,27
46954,75.0,589,27,25
46963,182.0,1491,25,15
46964,197.0,1491,15,25
46981,129.0,1014,25,11
46982,136.0,1014,11,25
46985,152.0,1201,25,19
46986,163.0,1201,19,25
46988,90.0,641,25,26
46989,87.0,641,26,25
47031,138.0,1069,25,23
47032,143.0,1069,23,25
47041,184.0,1476,25,24
47042,193.0,1476,24,25
47044,170.0,1359,25,14
47045,185.0,1359,14,25
47058,86.0,641,26,25
47059,148.0,1199,25,3
47060,155.0,1199,3,25
47061,140.0,1199,25,3
47062,158.0,1199,3,25
47063,187.0,1476,25,24
47064,197.0,1476,24,25
47102,146.0,1123,25,28
47103,142.0,1123,28,25
47111,86.0,641,25,26
47131,176.0,1337,25,20
47132,176.0,1337,20,25
