,AIR_TIME,DISTANCE,origin,dest
8705,168.0,1476,25,24
8706,214.0,1476,24,25
8722,165.0,1476,25,24
8723,68.0,589,25,27
8724,97.0,589,27,25
8731,101.0,641,26,25
8737,87.0,746,3,30
8812,131.0,1069,25,23
8820,122.0,1014,25,11
8821,148.0,1014,11,25
8830,165.0,1069,23,25
8857,83.0,641,25,26
8865,140.0,746,30,3
8894,208.0,1476,24,25
8895,179.0,1491,25,15
8896,222.0,1491,15,25
8900,80.0,524,25,16
8901,69.0,524,16,25
8936,141.0,1199,25,3
8985,91.0,775,25,4
8986,120.0,775,4,25
9071,153.0,1337,25,20
9072,192.0,1337,20,25
9073,85.0,692,25,18
9074,112.0,692,18,25
9102,154.0,1476,25,24
9121,83.0,563,25,29
9122,77.0,563,29,25
9138,235.0,1476,24,25
9146,147.0,1476,25,24
9147,236.0,1476,24,25
9199,119.0,1154,25,21
9200,188.0,1154,21,25
9203,86.0,524,25,16
9204,70.0,524,16,25
9205,86.0,641,25,26
9216,113.0,746,30,3
9241,159.0,1476,25,24
9242,247.0,1476,24,25
9243,149.0,1201,25,19
9283,97.0,641,26,25
9291,95.0,746,3,30
9305,176.0,1199,3,25
9316,134.0,1199,25,3
9326,195.0,1201,19,25
9336,82.0,641,25,26
9337,97.0,641,26,25
9377,101.0,589,27,25
9393,78.0,589,25,27
9430,95.0,775,25,4
9431,106.0,775,4,25
9507,136.0,1359,25,14
9508,217.0,1359,14,25
9526,58.0,349,25,1
9527,51.0,349,1,25
9542,246.0,1476,24,25
9547,115.0,1014,25,11
9548,157.0,1014,11,25
9572,165.0,1476,25,24
9587,147.0,1337,25,20
9588,208.0,1337,20,25
9637,99.0,641,26,25
9640,96.0,746,3,30
9668,120.0,746,30,3
9687,150.0,1476,25,24
9688,233.0,1476,24,25
9704,156.0,1476,25,24
9705,228.0,1476,24,25
9725,76.0,455,25,7
9726,64.0,455,7,25
9749,131.0,1199,25,3
9754,187.0,1199,3,25
9755,82.0,641,25,26
9838,158.0,1491,25,15
9839,209.0,1491,15,25
9870,121.0,1069,25,23
9871,192.0,1069,23,25
9880,99.0,775,25,4
9881,119.0,775,4,25
9948,131.0,1132,25,6
9949,175.0,1132,6,25
9950,84.0,692,25,18
9951,107.0,692,18,25
9996,218.0,1476,24,25
10067,135.0,1154,25,21
10068,169.0,1154,21,25
10102,81.0,563,25,29
10103,81.0,563,29,25
10104,85.0,641,25,26
10107,83.0,524,25,16
10108,69.0,524,16,25
10114,140.0,1201,25,19
10132,172.0,1201,19,25
10135,164.0,1476,25,24
10136,209.0,1476,24,25
10143,93.0,589,27,25
10160,93.0,746,3,30
10168,100.0,641,26,25
10174,75.0,589,25,27
10186,170.0,1476,25,24
10187,179.0,1199,3,25
10195,129.0,1199,25,3
10254,124.0,746,30,3
10259,173.0,1476,25,24
10260,217.0,1476,24,25
10323,108.0,775,25,4
10324,108.0,775,4,25
10368,150.0,1337,25,20
10369,210.0,1337,20,25
10370,83.0,641,25,26
10371,99.0,641,26,25
10382,127.0,1069,25,23
10411,114.0,746,30,3
10457,170.0,1491,25,15
10458,238.0,1491,15,25
10460,136.0,1199,25,3
10480,176.0,1199,3,25
10491,100.0,746,3,30
10495,97.0,641,26,25
10496,157.0,1069,23,25
10509,91.0,641,25,26
10554,169.0,1476,25,24
10555,217.0,1476,24,25
10567,220.0,1476,24,25
10627,170.0,1476,25,24
10628,225.0,1476,24,25
10629,164.0,1476,25,24
10693,98.0,775,25,4
10694,111.0,775,4,25
10730,130.0,1132,25,6
10731,157.0,1132,6,25
10732,82.0,692,25,18
10733,102.0,692,18,25
10740,153.0,1337,25,20
10741,195.0,1337,20,25
10749,167.0,1476,25,24
10750,215.0,1476,24,25
10754,90.0,641,25,26
10756,87.0,563,25,29
10757,78.0,563,29,25
10793,72.0,589,25,27
10805,133.0,1154,25,21
10806,175.0,1154,21,25
10811,93.0,589,27,25
10818,117.0,746,30,3
10827,98.0,746,3,30
10848,175.0,1476,25,24
10849,223.0,1476,24,25
10887,134.0,1199,25,3
10899,76.0,524,25,16
10900,81.0,524,16,25
10902,93.0,641,26,25
10905,167.0,1476,25,24
10906,181.0,1199,3,25
10928,180.0,1201,19,25
10979,141.0,1201,25,19
11050,215.0,1476,24,25
11113,103.0,775,25,4
11114,113.0,775,4,25
11154,155.0,1337,25,20
11155,209.0,1337,20,25
11156,91.0,641,25,26
11157,104.0,641,26,25
11192,89.0,641,26,25
11228,170.0,1491,25,15
11229,221.0,1491,15,25
11230,100.0,641,25,26
11244,119.0,746,30,3
11261,101.0,746,3,30
11277,127.0,1069,25,23
11278,156.0,1069,23,25
11321,221.0,1476,24,25
11354,143.0,1199,25,3
11379,179.0,1476,25,24
11388,129.0,1014,25,11
11389,152.0,1014,11,25
11391,174.0,1199,3,25
11392,147.0,1132,25,6
11393,158.0,1132,6,25
11446,167.0,1476,25,24
11447,224.0,1476,24,25
11448,71.0,455,25,7
11449,57.0,455,7,25
11472,175.0,1476,25,24
11473,221.0,1476,24,25
11547,115.0,775,25,4
11548,96.0,775,4,25
11584,161.0,1337,25,20
11585,192.0,1337,20,25
11586,82.0,692,25,18
11587,104.0,692,18,25
11627,167.0,1199,25,3
11660,94.0,641,26,25
11670,167.0,1476,25,24
11689,127.0,1014,25,11
11690,150.0,1014,11,25
11698,173.0,1476,25,24
11699,208.0,1476,24,25
11705,116.0,746,30,3
11728,139.0,1069,25,23
11731,169.0,1476,25,24
11732,203.0,1476,24,25
11733,78.0,589,25,27
11734,91.0,589,27,25
11742,87.0,641,25,26
11771,173.0,1199,3,25
11789,217.0,1476,24,25
11790,171.0,1491,25,15
11791,208.0,1491,15,25
11795,165.0,1069,23,25
11831,98.0,746,3,30
11884,101.0,775,25,4
11886,112.0,775,4,25
11967,75.0,524,25,16
11968,67.0,524,16,25
11975,182.0,1337,25,20
11976,181.0,1337,20,25
11977,84.0,692,25,18
11978,102.0,692,18,25
12005,158.0,1337,25,20
12006,205.0,1337,20,25
12007,84.0,641,25,26
12008,101.0,641,26,25
12032,182.0,1201,19,25
12048,221.0,1476,24,25
12083,162.0,1476,25,24
12084,145.0,1199,25,3
12093,94.0,746,3,30
12132,168.0,1476,25,24
12133,218.0,1476,24,25
12134,79.0,524,25,16
12135,70.0,524,16,25
12149,98.0,641,26,25
12152,135.0,1154,25,21
12153,172.0,1154,21,25
12208,122.0,746,30,3
12232,175.0,1199,3,25
12233,71.0,589,25,27
12236,93.0,589,27,25
12249,87.0,563,25,29
12250,82.0,563,29,25
12262,142.0,1201,25,19
12298,161.0,1476,25,24
12299,215.0,1476,24,25
12300,83.0,641,25,26
12325,104.0,775,25,4
12326,110.0,775,4,25
12427,158.0,1476,25,24
12428,115.0,1014,25,11
12429,163.0,1014,11,25
12446,85.0,641,25,26
12499,193.0,1476,24,25
12508,183.0,1476,25,24
12509,202.0,1476,24,25
12537,179.0,1491,25,15
12538,210.0,1491,15,25
12543,174.0,1476,25,24
12605,179.0,1476,25,24
12606,203.0,1476,24,25
12607,71.0,589,25,27
12608,86.0,589,27,25
12615,141.0,1069,25,23
12616,82.0,641,25,26
12618,119.0,746,30,3
12626,155.0,1069,23,25
12637,149.0,1199,25,3
12645,128.0,1014,25,11
12646,148.0,1014,11,25
12684,94.0,746,3,30
12700,99.0,641,26,25
12735,161.0,1199,3,25
12791,102.0,775,25,4
12792,110.0,775,4,25
12837,84.0,524,25,16
12838,67.0,524,16,25
12839,181.0,1337,25,20
12840,177.0,1337,20,25
12841,90.0,692,25,18
12842,98.0,692,18,25
12867,54.0,349,25,1
12868,55.0,349,1,25
12896,85.0,524,25,16
12897,74.0,524,16,25
12899,177.0,1201,19,25
12900,85.0,641,25,26
12902,110.0,746,3,30
12912,146.0,1201,25,19
12947,222.0,1476,24,25
12956,84.0,563,25,29
12957,84.0,563,29,25
13027,99.0,641,26,25
13028,71.0,589,25,27
13031,100.0,589,27,25
13041,137.0,1199,25,3
13077,171.0,1199,3,25
13080,131.0,1154,25,21
13081,175.0,1154,21,25
13088,164.0,1476,25,24
13089,219.0,1476,24,25
13090,174.0,1476,25,24
13093,165.0,1476,25,24
13094,225.0,1476,24,25
13108,104.0,746,30,3
13195,107.0,775,25,4
13196,103.0,775,4,25
13260,157.0,1337,25,20
13261,201.0,1337,20,25
13262,87.0,641,25,26
13263,95.0,641,26,25
13284,123.0,1014,25,11
13285,142.0,1014,11,25
13291,161.0,1476,25,24
13294,152.0,1476,25,24
13295,244.0,1476,24,25
13320,97.0,641,26,25
13337,175.0,1199,3,25
13403,161.0,1491,25,15
13404,236.0,1491,15,25
13405,96.0,641,25,26
13431,139.0,1132,25,6
13432,161.0,1132,6,25
13443,113.0,746,30,3
13448,106.0,746,3,30
13490,235.0,1476,24,25
13494,139.0,1199,25,3
13537,125.0,1069,25,23
13538,172.0,1069,23,25
13539,68.0,455,25,7
13540,80.0,455,7,25
13558,155.0,1476,25,24
13559,233.0,1476,24,25
13622,112.0,775,25,4
13623,99.0,775,4,25
13673,146.0,1337,25,20
13674,197.0,1337,20,25
13685,80.0,692,25,18
13686,120.0,692,18,25
13705,222.0,1476,24,25
13724,190.0,1201,19,25
13728,69.0,589,25,27
13731,90.0,589,27,25
13733,159.0,1476,25,24
13734,230.0,1476,24,25
13750,137.0,1201,25,19
13796,93.0,641,26,25
13804,177.0,1199,3,25
13826,64.0,349,25,1
13827,56.0,349,1,25
13831,153.0,1476,25,24
13832,227.0,1476,24,25
13833,96.0,641,25,26
13859,157.0,1476,25,24
13875,75.0,524,25,16
13876,72.0,524,16,25
13919,124.0,746,30,3
13937,145.0,1199,25,3
13986,109.0,775,25,4
13987,102.0,775,4,25
14039,150.0,1337,25,20
14040,201.0,1337,20,25
14050,99.0,641,25,26
14051,90.0,641,26,25
14071,166.0,1476,25,24
14072,214.0,1476,24,25
14114,158.0,1491,25,15
14115,211.0,1491,15,25
14116,92.0,641,25,26
14125,148.0,1199,25,3
14130,127.0,1069,25,23
14148,163.0,1069,23,25
14160,127.0,746,30,3
14183,92.0,641,26,25
14186,87.0,692,25,18
14187,100.0,692,18,25
14205,170.0,1476,25,24
14206,219.0,1476,24,25
14211,234.0,1476,24,25
14274,170.0,1199,3,25
14275,70.0,455,25,7
14276,64.0,455,7,25
14282,89.0,746,3,30
14290,102.0,775,25,4
14291,98.0,775,4,25
14292,167.0,1476,25,24
14388,157.0,1337,25,20
14389,190.0,1337,20,25
14400,139.0,1132,25,6
14401,154.0,1132,6,25
14432,78.0,563,25,29
14433,121.0,563,29,25
14440,128.0,746,30,3
14446,180.0,1476,25,24
14447,203.0,1476,24,25
14448,174.0,1476,25,24
14449,180.0,1199,25,3
14468,76.0,589,25,27
14487,82.0,641,25,26
14488,100.0,641,26,25
14499,94.0,641,26,25
14583,138.0,1154,25,21
14584,156.0,1154,21,25
14589,92.0,524,25,16
14590,82.0,524,16,25
14612,167.0,1199,3,25
14637,180.0,1201,19,25
14638,79.0,641,25,26
14654,148.0,1201,25,19
14662,62.0,349,25,1
14663,67.0,349,1,25
14697,93.0,746,3,30
14703,105.0,589,27,25
14710,206.0,1476,24,25
14711,174.0,1476,25,24
14712,210.0,1476,24,25
14791,95.0,775,25,4
14792,121.0,775,4,25
14828,197.0,1337,25,20
14829,187.0,1337,20,25
14869,208.0,1476,24,25
14962,176.0,1199,3,25
14965,72.0,455,25,7
14966,56.0,455,7,25
14967,171.0,1476,25,24
14968,215.0,1476,24,25
14969,166.0,1476,25,24
14998,174.0,1491,25,15
14999,199.0,1491,15,25
15000,80.0,641,25,26
15001,128.0,1069,25,23
15002,159.0,1069,23,25
15053,174.0,1476,25,24
15054,198.0,1476,24,25
15056,107.0,641,26,25
15086,138.0,1199,25,3
15127,93.0,746,3,30
15145,129.0,746,30,3
15174,92.0,775,25,4
15175,157.0,775,4,25
15232,156.0,1337,25,20
15233,201.0,1337,20,25
15234,89.0,692,25,18
15235,99.0,692,18,25
15237,133.0,1132,25,6
15238,171.0,1132,6,25
15266,84.0,692,25,18
15267,108.0,692,18,25
15274,167.0,1476,25,24
15275,218.0,1476,24,25
15276,69.0,589,25,27
15277,93.0,589,27,25
15316,82.0,641,25,26
15338,164.0,1476,25,24
15339,225.0,1476,24,25
15346,191.0,1199,3,25
15351,126.0,1069,25,23
15356,99.0,746,3,30
15368,208.0,1476,24,25
15369,171.0,1491,25,15
15370,218.0,1491,15,25
15395,104.0,641,26,25
15396,166.0,1069,23,25
15399,115.0,746,30,3
15421,129.0,1199,25,3
15433,112.0,1014,25,11
15434,162.0,1014,11,25
15459,157.0,1476,25,24
15542,95.0,775,25,4
15543,109.0,775,4,25
15630,149.0,1337,25,20
15631,209.0,1337,20,25
15632,78.0,524,25,16
15633,72.0,524,16,25
15655,157.0,1476,25,24
15656,235.0,1476,24,25
15657,160.0,1476,25,24
15691,99.0,641,26,25
15745,85.0,563,25,29
15746,78.0,563,29,25
15747,84.0,641,25,26
15754,131.0,1199,25,3
15773,80.0,524,25,16
15774,67.0,524,16,25
15776,178.0,1199,3,25
15779,125.0,1154,25,21
15780,182.0,1154,21,25
15825,59.0,349,25,1
15826,50.0,349,1,25
15831,70.0,589,25,27
15858,235.0,1476,24,25
15882,116.0,746,30,3
15889,152.0,1476,25,24
15890,233.0,1476,24,25
15901,190.0,1201,19,25
15907,120.0,589,27,25
15932,133.0,1201,25,19
15934,96.0,746,3,30
15952,100.0,775,25,4
15953,112.0,775,4,25
16050,150.0,1337,25,20
16051,203.0,1337,20,25
16052,86.0,641,25,26
16053,104.0,641,26,25
16075,232.0,1476,24,25
16095,157.0,1476,25,24
16097,97.0,746,3,30
16143,121.0,1069,25,23
16144,167.0,1069,23,25
16145,66.0,455,25,7
16146,76.0,455,7,25
16147,93.0,641,25,26
16159,103.0,641,26,25
16183,164.0,1491,25,15
16184,235.0,1491,15,25
16196,194.0,1199,3,25
16212,119.0,746,30,3
16224,112.0,1014,25,11
16225,161.0,1014,11,25
16234,159.0,1476,25,24
16235,231.0,1476,24,25
16269,132.0,1199,25,3
16299,157.0,1476,25,24
16300,241.0,1476,24,25
16365,108.0,775,25,4
16366,110.0,775,4,25
16451,150.0,1337,25,20
16452,191.0,1337,20,25
16456,134.0,1132,25,6
16457,166.0,1132,6,25
16458,78.0,692,25,18
16459,112.0,692,18,25
16482,160.0,1476,25,24
16483,230.0,1476,24,25
16488,83.0,524,25,16
16489,64.0,524,16,25
16493,194.0,1199,3,25
16495,187.0,1201,19,25
16498,58.0,349,25,1
16499,57.0,349,1,25
16506,229.0,1476,24,25
16520,154.0,1476,25,24
16521,244.0,1476,24,25
16540,136.0,1201,25,19
16543,129.0,1199,25,3
16549,102.0,641,26,25
16598,115.0,746,3,30
16631,155.0,1476,25,24
16633,72.0,589,25,27
16636,91.0,589,27,25
16637,108.0,641,25,26
16645,125.0,746,30,3
16752,110.0,775,25,4
16753,98.0,775,4,25
16815,138.0,1337,25,20
16816,217.0,1337,20,25
16819,95.0,641,25,26
16820,90.0,641,26,25
16835,86.0,641,25,26
16837,129.0,1069,25,23
16840,191.0,1491,25,15
16862,167.0,1476,25,24
16863,263.0,1476,24,25
16874,151.0,1132,25,6
16875,155.0,1132,6,25
16876,155.0,1476,25,24
16942,157.0,1476,25,24
16943,227.0,1476,24,25
16948,180.0,1199,3,25
16973,244.0,1476,24,25
16977,85.0,641,26,25
16978,173.0,1069,23,25
17005,129.0,746,30,3
17010,96.0,746,3,30
17028,138.0,1199,25,3
17111,105.0,775,25,4
17112,103.0,775,4,25
17160,70.0,455,25,7
17161,62.0,455,7,25
17162,103.0,692,25,18
17163,124.0,692,18,25
17176,150.0,1337,25,20
17177,204.0,1337,20,25
17186,94.0,641,26,25
17221,134.0,1201,25,19
17232,218.0,1476,24,25
17246,74.0,589,25,27
17259,152.0,1199,25,3
17266,136.0,746,30,3
17280,167.0,1201,19,25
17294,171.0,1476,25,24
17348,78.0,589,27,25
17361,170.0,1476,25,24
17362,216.0,1476,24,25
17401,85.0,524,25,16
17402,69.0,524,16,25
17425,177.0,1199,3,25
17426,171.0,1476,25,24
17427,225.0,1476,24,25
17446,48.0,349,25,1
17447,63.0,349,1,25
17453,81.0,563,25,29
17454,96.0,563,29,25
17455,81.0,641,25,26
17463,136.0,1154,25,21
17464,158.0,1154,21,25
17482,93.0,746,3,30
17522,100.0,775,25,4
17523,112.0,775,4,25
17579,152.0,1337,25,20
17580,205.0,1337,20,25
17581,84.0,641,25,26
17582,95.0,641,26,25
17614,170.0,1476,25,24
17616,197.0,1476,24,25
17631,128.0,746,30,3
17635,173.0,1199,3,25
17664,138.0,1199,25,3
17695,135.0,1069,25,23
17696,149.0,1069,23,25
17697,170.0,1476,25,24
17698,201.0,1476,24,25
17704,84.0,746,3,30
17722,205.0,1476,24,25
17798,177.0,1491,25,15
17799,207.0,1491,15,25
17800,88.0,641,25,26
17825,181.0,1476,25,24
17838,128.0,1014,25,11
17839,138.0,1014,11,25
17871,91.0,641,26,25
17879,72.0,455,25,7
17880,73.0,455,7,25
17948,109.0,775,25,4
17949,108.0,775,4,25
18003,131.0,1132,25,6
18004,159.0,1132,6,25
18014,150.0,1337,25,20
18015,186.0,1337,20,25
18016,80.0,692,25,18
18017,103.0,692,18,25
18030,164.0,1476,25,24
18031,218.0,1476,24,25
18049,156.0,1476,25,24
18106,166.0,1491,25,15
18107,216.0,1491,15,25
18134,178.0,1199,3,25
18135,162.0,1069,23,25
18148,134.0,1199,25,3
18187,98.0,746,3,30
18198,95.0,641,26,25
18208,126.0,1069,25,23
18209,81.0,641,25,26
18214,212.0,1476,24,25
18225,116.0,1014,25,11
18226,156.0,1014,11,25
18278,162.0,1476,25,24
18279,213.0,1476,24,25
18280,73.0,589,25,27
18281,83.0,589,27,25
18293,121.0,746,30,3
18329,99.0,775,25,4
18330,112.0,775,4,25
18399,155.0,1337,25,20
18400,197.0,1337,20,25
18401,82.0,692,25,18
18402,97.0,692,18,25
18416,85.0,524,25,16
18417,65.0,524,16,25
18446,134.0,746,30,3
18453,56.0,349,25,1
18454,57.0,349,1,25
18462,219.0,1476,24,25
18467,142.0,1201,25,19
18534,133.0,1199,25,3
18554,95.0,589,27,25
18589,163.0,1476,25,24
18608,161.0,1476,25,24
18609,218.0,1476,24,25
18620,70.0,589,25,27
18637,106.0,641,26,25
18660,179.0,1201,19,25
18661,78.0,641,25,26
18663,160.0,1476,25,24
18664,219.0,1476,24,25
18666,180.0,1199,3,25
18669,129.0,1154,25,21
18670,175.0,1154,21,25
18673,90.0,746,3,30
18696,79.0,563,25,29
18697,78.0,563,29,25
18717,87.0,524,25,16
18718,66.0,524,16,25
18754,93.0,775,25,4
18755,111.0,775,4,25
18859,161.0,1491,25,15
18860,254.0,1491,15,25
18862,186.0,1199,3,25
18869,79.0,692,25,18
18870,116.0,692,18,25
18871,128.0,1199,25,3
18880,122.0,1069,25,23
18881,173.0,1069,23,25
18958,163.0,1476,25,24
18966,92.0,746,3,30
18971,122.0,746,30,3
19013,229.0,1476,24,25
19030,115.0,1014,25,11
19031,157.0,1014,11,25
19036,69.0,455,25,7
19037,66.0,455,7,25
19056,154.0,1476,25,24
19057,247.0,1476,24,25
19080,101.0,641,26,25
19091,154.0,1476,25,24
19092,247.0,1476,24,25
19142,83.0,641,25,26
19216,101.0,775,25,4
19217,112.0,775,4,25
19248,145.0,1132,25,6
19249,171.0,1132,6,25
19254,147.0,1337,25,20
19255,206.0,1337,20,25
19267,97.0,589,27,25
19272,83.0,563,25,29
19273,81.0,563,29,25
19274,192.0,1201,19,25
19281,161.0,1476,25,24
19282,234.0,1476,24,25
19289,129.0,746,30,3
19356,118.0,1154,25,21
19357,197.0,1154,21,25
19361,97.0,746,3,30
19371,227.0,1476,24,25
19375,131.0,1199,25,3
19411,67.0,589,25,27
19444,92.0,524,25,16
19445,66.0,524,16,25
19446,89.0,641,25,26
19465,58.0,349,25,1
19466,54.0,349,1,25
19498,191.0,1199,3,25
19505,154.0,1476,25,24
19506,234.0,1476,24,25
19507,148.0,1476,25,24
19509,130.0,1201,25,19
19551,96.0,641,26,25
19623,107.0,775,25,4
19624,111.0,775,4,25
19649,143.0,1337,25,20
19650,220.0,1337,20,25
19651,82.0,641,25,26
19652,97.0,641,26,25
19673,171.0,1476,25,24
19674,233.0,1476,24,25
19680,174.0,1069,23,25
19702,118.0,1069,25,23
19730,85.0,641,25,26
19732,160.0,1491,25,15
19733,240.0,1491,15,25
19739,125.0,746,30,3
19744,188.0,1199,3,25
19760,88.0,746,3,30
19818,153.0,1476,25,24
19828,100.0,641,26,25
19846,152.0,1476,25,24
19847,239.0,1476,24,25
19861,65.0,455,25,7
19862,71.0,455,7,25
19865,131.0,1199,25,3
19871,245.0,1476,24,25
19913,130.0,1132,25,6
19914,167.0,1132,6,25
19980,103.0,775,25,4
19981,112.0,775,4,25
20006,149.0,1337,25,20
20007,211.0,1337,20,25
20008,81.0,692,25,18
20009,113.0,692,18,25
20033,129.0,1199,25,3
20034,196.0,1199,3,25
20067,79.0,524,25,16
20068,66.0,524,16,25
20096,106.0,641,26,25
20099,162.0,1201,19,25
20100,81.0,641,25,26
20162,132.0,1154,25,21
20163,151.0,1154,21,25
20196,231.0,1476,24,25
20202,72.0,589,25,27
20250,133.0,1201,25,19
20251,166.0,1476,25,24
20252,215.0,1476,24,25
20253,84.0,563,25,29
20254,84.0,563,29,25
20260,56.0,349,25,1
20261,58.0,349,1,25
20289,155.0,1476,25,24
20292,89.0,746,3,30
20295,78.0,589,27,25
20307,143.0,746,30,3
20328,160.0,1476,25,24
20329,205.0,1476,24,25
20363,96.0,775,25,4
20364,118.0,775,4,25
20433,147.0,1337,25,20
20434,228.0,1337,20,25
20435,84.0,641,25,26
20436,100.0,641,26,25
20459,123.0,1132,25,6
20460,183.0,1132,6,25
20482,127.0,1069,25,23
20483,162.0,1069,23,25
20484,170.0,1476,25,24
20485,199.0,1476,24,25
20488,114.0,1014,25,11
20489,174.0,1014,11,25
20490,76.0,641,25,26
20494,162.0,1476,25,24
20495,208.0,1476,24,25
20496,67.0,455,25,7
20497,65.0,455,7,25
20520,106.0,641,26,25
20521,160.0,1476,25,24
20562,168.0,1491,25,15
20563,210.0,1491,15,25
20582,204.0,1199,3,25
20685,120.0,1199,25,3
20691,106.0,746,30,3
20699,203.0,1476,24,25
20737,97.0,746,3,30
20808,111.0,775,25,4
20809,121.0,775,4,25
20858,142.0,1337,25,20
20859,187.0,1337,20,25
20860,80.0,692,25,18
20861,106.0,692,18,25
20869,106.0,746,3,30
20873,121.0,1199,25,3
20900,155.0,1476,25,24
20901,105.0,641,26,25
20902,175.0,1069,23,25
20916,158.0,1476,25,24
20917,226.0,1476,24,25
20938,225.0,1476,24,25
20969,158.0,1476,25,24
20970,218.0,1476,24,25
20971,70.0,589,25,27
20972,89.0,589,27,25
20990,162.0,1491,25,15
20991,216.0,1491,15,25
20999,118.0,1069,25,23
21062,105.0,1014,25,11
21063,154.0,1014,11,25
21085,81.0,641,25,26
21095,104.0,746,30,3
21126,175.0,1199,3,25
21167,97.0,775,25,4
21168,111.0,775,4,25
21221,144.0,1337,25,20
21222,238.0,1337,20,25
21223,79.0,692,25,18
21224,108.0,692,18,25
21233,78.0,524,25,16
21234,66.0,524,16,25
21267,102.0,746,3,30
21274,52.0,349,25,1
21275,55.0,349,1,25
21284,233.0,1476,24,25
21290,159.0,1476,25,24
21291,208.0,1476,24,25
21313,89.0,524,25,16
21314,73.0,524,16,25
21382,132.0,1201,25,19
21400,126.0,1199,25,3
21401,174.0,1201,19,25
21407,86.0,589,27,25
21423,103.0,746,30,3
21436,75.0,589,25,27
21463,155.0,1476,25,24
21464,223.0,1476,24,25
21465,159.0,1476,25,24
21471,188.0,1199,3,25
21486,92.0,641,26,25
21489,132.0,1154,25,21
21490,170.0,1154,21,25
21550,87.0,563,25,29
21551,84.0,563,29,25
21552,81.0,641,25,26
21600,100.0,775,25,4
21601,105.0,775,4,25
21664,147.0,1337,25,20
21665,197.0,1337,20,25
21666,89.0,641,25,26
21667,97.0,641,26,25
21704,136.0,1199,25,3
21728,134.0,1069,25,23
21729,151.0,1069,23,25
21730,67.0,455,25,7
21731,67.0,455,7,25
21732,87.0,641,25,26
21740,129.0,746,30,3
21772,179.0,1199,3,25
21795,122.0,1014,25,11
21796,155.0,1014,11,25
21825,173.0,1476,25,24
21826,210.0,1476,24,25
21838,170.0,1476,25,24
21870,171.0,1476,25,24
21871,213.0,1476,24,25
21875,174.0,1491,25,15
21876,208.0,1491,15,25
21878,203.0,1476,24,25
21886,133.0,1132,25,6
21887,163.0,1132,6,25
21888,84.0,692,25,18
21889,97.0,692,18,25
21933,93.0,746,3,30
21957,99.0,641,26,25
22037,104.0,775,25,4
22038,112.0,775,4,25
22065,160.0,1337,25,20
22066,191.0,1337,20,25
22092,149.0,1201,25,19
22094,176.0,1476,25,24
22095,198.0,1476,24,25
22099,84.0,524,25,16
22100,69.0,524,16,25
22127,98.0,641,26,25
22148,141.0,1199,25,3
22183,83.0,589,27,25
22185,171.0,1201,19,25
22190,172.0,1476,25,24
22191,208.0,1476,24,25
22206,80.0,589,25,27
22213,87.0,641,25,26
22222,204.0,1476,24,25
22232,50.0,349,25,1
22233,67.0,349,1,25
22236,89.0,746,3,30
22282,179.0,1199,3,25
22304,170.0,1476,25,24
22311,121.0,746,30,3
22367,97.0,775,25,4
22368,108.0,775,4,25
22434,159.0,1337,25,20
22435,198.0,1337,20,25
22436,90.0,641,25,26
22437,92.0,641,26,25
22439,131.0,1069,25,23
22440,80.0,641,25,26
22453,178.0,1476,25,24
22454,201.0,1476,24,25
22455,85.0,692,25,18
22456,95.0,692,18,25
22461,134.0,1132,25,6
22462,158.0,1132,6,25
22529,72.0,455,25,7
22530,60.0,455,7,25
22547,176.0,1491,25,15
22548,200.0,1491,15,25
22556,133.0,746,30,3
22567,177.0,1476,25,24
22568,204.0,1476,24,25
22569,103.0,641,26,25
22570,151.0,1069,23,25
22593,85.0,746,3,30
22600,171.0,1199,3,25
22609,139.0,1199,25,3
22643,207.0,1476,24,25
22676,177.0,1476,25,24
22715,93.0,775,25,4
22716,113.0,775,4,25
22773,156.0,1337,25,20
22774,195.0,1337,20,25
22791,104.0,641,26,25
22799,77.0,563,25,29
22800,89.0,563,29,25
22827,174.0,1476,25,24
22828,209.0,1476,24,25
22839,86.0,589,27,25
22902,135.0,1154,25,21
22903,158.0,1154,21,25
22918,79.0,641,25,26
22919,162.0,1201,19,25
22936,150.0,1201,25,19
22937,167.0,1476,25,24
22949,137.0,1199,25,3
22976,97.0,746,3,30
23011,175.0,1199,3,25
23018,168.0,1476,25,24
23019,218.0,1476,24,25
23035,88.0,524,25,16
23036,66.0,524,16,25
23054,74.0,589,25,27
23083,207.0,1476,24,25
23091,53.0,349,25,1
23092,60.0,349,1,25
23096,112.0,746,30,3
23145,94.0,775,25,4
23146,121.0,775,4,25
23206,167.0,1337,25,20
23207,202.0,1337,20,25
23208,80.0,641,25,26
23209,105.0,641,26,25
23217,122.0,1132,25,6
23218,168.0,1132,6,25
23224,176.0,1476,25,24
23225,198.0,1476,24,25
23255,169.0,1476,25,24
23256,164.0,1476,25,24
23257,205.0,1476,24,25
23258,72.0,455,25,7
23259,61.0,455,7,25
23286,175.0,1199,3,25
23337,103.0,641,26,25
23360,214.0,1476,24,25
23394,116.0,1014,25,11
23395,153.0,1014,11,25
23398,96.0,746,3,30
23425,112.0,746,30,3
23448,180.0,1491,25,15
23449,199.0,1491,15,25
23450,78.0,641,25,26
23500,125.0,1069,25,23
23501,149.0,1069,23,25
23510,135.0,1199,25,3
23599,92.0,775,25,4
23600,112.0,775,4,25
23619,149.0,1337,25,20
23620,197.0,1337,20,25
23621,90.0,692,25,18
23622,99.0,692,18,25
