,home,away,hometeam,awayteam
318,9,10,21,27
319,17,12,8,11
320,15,4,24,5
321,14,10,29,13
322,16,12,26,12
323,14,8,14,25
324,15,19,9,7
325,12,12,4,30
326,10,12,1,8
327,15,11,3,16
328,11,7,2,28
329,16,8,6,22
330,17,11,17,14
331,11,14,15,23
332,11,12,27,19
333,17,8,24,11
334,15,12,29,12
335,20,9,10,5
336,10,24,20,7
337,9,11,13,26
338,5,12,4,17
339,9,11,28,22
340,10,11,18,21
341,25,3,10,11
342,13,10,29,25
343,11,8,19,8
344,6,19,27,24
345,9,15,2,3
346,13,15,9,15
347,5,8,20,6
348,10,10,30,14
349,13,9,26,5
350,17,10,25,12
351,12,15,4,13
352,8,13,22,17
353,13,12,1,21
354,10,13,28,3
355,14,17,11,23
356,8,14,15,16
357,20,13,7,24
358,13,15,10,12
359,7,6,6,14
360,10,19,16,9
361,13,17,8,7
362,8,15,22,13
363,12,10,2,4
364,17,6,20,1
365,12,7,28,14
366,10,9,5,30
367,14,14,15,21
368,14,12,17,26
369,8,19,18,12
370,8,15,19,9
371,15,14,29,10
372,8,16,24,3
373,12,17,16,13
374,13,10,27,11
375,16,12,25,8
376,6,13,4,20
377,18,10,12,30
378,10,10,22,28
379,13,10,2,1
380,10,16,6,26
381,18,11,23,14
382,9,11,15,9
383,8,22,19,24
384,13,14,29,18
385,13,11,7,17
386,13,7,16,27
387,21,9,12,2
388,16,19,30,13
389,12,10,6,21
390,19,11,5,7
391,13,12,10,3
392,8,15,8,29
393,13,10,25,18
394,8,13,19,24
395,17,11,9,14
396,8,10,20,26
397,14,6,22,28
398,13,11,23,4
399,13,7,1,5
400,6,12,11,17
401,11,9,12,16
402,11,8,30,2
403,13,12,15,1
404,22,10,7,21
405,9,5,27,6
406,21,10,25,18
407,10,9,13,3
408,16,10,23,26
409,12,20,17,10
410,12,13,11,24
411,15,4,29,19
412,8,19,14,3
413,17,18,4,9
414,16,14,12,10
415,16,12,22,1
416,6,17,28,26
417,9,18,5,20
418,9,24,21,16
419,11,18,27,25
420,13,8,7,6
421,4,19,8,30
422,14,4,13,18
423,9,16,11,16
424,12,13,15,17
425,18,12,29,19
426,12,9,13,24
427,15,15,4,1
428,10,12,9,26
429,11,9,3,22
430,14,11,6,12
431,15,17,23,10
432,9,9,28,2
433,12,17,5,20
434,11,12,21,18
435,18,13,7,25
436,12,9,14,8
437,12,9,13,30
438,10,11,27,16
439,7,15,6,7
440,3,13,11,25
441,18,16,17,29
442,19,12,21,15
443,15,14,24,19
444,12,12,3,22
445,13,8,12,20
446,8,15,9,2
447,13,18,28,10
448,23,16,18,5
449,11,12,8,4
450,11,10,14,30
451,15,10,6,29
452,15,11,23,28
453,12,12,1,22
454,5,17,11,27
455,12,19,18,7
456,18,13,19,17
457,11,16,21,25
458,20,12,24,14
459,12,10,26,4
460,9,20,9,29
461,15,13,16,5
462,17,12,20,10
463,13,11,24,30
464,10,5,8,15
465,10,13,6,17
466,11,6,23,9
467,14,7,1,5
468,13,18,3,12
469,21,12,2,10
470,11,9,20,28
471,17,11,11,22
472,8,13,18,7
473,8,14,21,25
474,17,11,26,14
475,23,9,13,4
476,13,9,19,27
477,16,7,29,30
478,17,12,22,27
479,12,14,23,13
480,12,9,1,9
481,13,10,3,18
482,14,9,2,17
483,11,19,6,28
484,16,14,20,5
485,13,21,16,12
486,8,16,11,7
487,13,13,21,19
488,10,9,8,25
489,9,7,24,15
490,10,10,26,30
491,19,16,14,4
492,12,18,20,23
493,18,9,7,14
494,19,13,3,17
495,18,9,10,15
496,13,17,8,24
497,13,18,6,2
498,16,19,9,13
499,13,15,16,18
500,13,17,5,11
501,12,9,19,12
502,6,13,27,29
503,14,12,25,4
504,10,17,22,14
505,11,6,30,23
506,20,14,3,11
507,13,12,12,1
508,6,15,28,13
509,8,17,15,24
510,13,10,21,27
511,13,16,7,20
512,8,10,10,4
513,10,13,26,8
514,18,5,9,22
515,8,13,30,24
516,8,10,1,2
517,11,13,16,14
518,9,9,5,17
519,11,10,19,18
520,16,15,10,29
521,14,12,26,8
522,10,11,4,21
523,19,12,12,6
524,11,15,3,13
525,10,13,28,15
526,11,15,27,20
527,18,12,7,11
528,5,15,22,30
529,11,10,1,14
530,11,14,28,24
531,12,17,5,9
532,14,8,17,18
533,15,14,19,23
534,17,14,8,16
535,17,12,10,25
536,12,8,26,29
537,14,16,12,13
538,11,13,4,2
539,7,13,5,6
540,14,15,11,20
541,8,14,27,7
542,5,8,15,19
543,10,10,18,9
544,12,11,21,23
545,17,13,29,16
546,10,15,15,26
547,13,7,17,30
548,17,9,8,3
549,13,10,20,24
550,11,10,4,14
551,16,10,6,5
552,10,14,12,28
553,15,11,23,19
554,11,8,2,27
555,9,13,11,7
556,13,11,18,8
557,19,11,10,1
558,14,6,25,9
559,12,12,13,16
560,11,8,17,30
561,20,12,21,3
562,13,9,29,26
563,11,9,4,15
564,11,10,6,24
565,13,15,22,21
566,14,13,23,12
567,10,11,20,27
568,9,13,28,17
569,8,12,5,2
570,9,9,18,25
571,14,12,19,11
572,15,16,10,9
573,8,8,14,16
574,10,10,26,1
575,11,12,22,15
576,7,16,7,3
577,15,19,11,29
578,14,5,8,13
579,7,9,12,25
580,18,20,23,5
581,10,16,28,20
582,20,20,17,4
583,17,7,21,30
584,9,11,27,9
585,12,15,19,2
586,13,9,18,13
587,17,10,8,6
588,6,12,24,16
589,16,9,14,1
590,7,15,27,3
591,13,12,5,29
592,13,5,7,19
593,18,13,10,22
