,home,away,hometeam,awayteam
318,14,19,21,27
319,15,14,8,11
320,19,27,24,5
321,21,28,29,13
322,25,22,26,12
323,18,17,14,25
324,14,14,9,7
325,25,26,4,30
326,9,7,1,8
327,21,13,3,16
328,15,22,2,28
329,9,8,6,22
330,12,18,17,14
331,22,15,15,23
332,12,25,27,19
333,14,34,24,11
334,32,27,29,12
335,15,16,10,5
336,20,11,20,7
337,21,20,13,26
338,23,15,4,17
339,18,21,28,22
340,24,28,18,21
341,5,18,10,11
342,22,24,29,25
343,28,16,19,8
344,13,16,27,24
345,15,18,2,3
346,25,21,9,15
347,17,15,20,6
348,11,16,30,14
349,17,16,26,5
350,15,10,25,12
351,11,14,4,13
352,26,20,22,17
353,13,23,1,21
354,22,15,28,3
355,34,28,11,23
356,9,17,15,16
357,22,18,7,24
358,15,11,10,12
359,13,20,6,14
360,20,11,16,9
361,22,27,8,7
362,28,18,22,13
363,12,12,2,4
364,22,19,20,1
365,20,32,28,14
366,15,20,5,30
367,13,20,15,21
368,20,15,17,26
369,25,18,18,12
370,18,13,19,9
371,17,19,29,10
372,16,11,24,3
373,11,19,16,13
374,13,11,27,11
375,16,15,25,8
376,22,26,4,20
377,17,19,12,30
378,19,27,22,28
379,17,14,2,1
380,17,20,6,26
381,19,23,23,14
382,17,20,15,9
383,28,9,19,24
384,17,20,29,18
385,10,19,7,17
386,20,24,16,27
387,18,23,12,2
388,17,15,30,13
389,18,16,6,21
390,17,22,5,7
391,16,19,10,3
392,13,17,8,29
393,25,18,25,18
394,21,13,19,24
395,14,21,9,14
396,24,23,20,26
397,25,33,22,28
398,26,26,23,4
399,16,19,1,5
400,11,14,11,17
401,15,14,12,16
402,15,16,30,2
403,15,17,15,1
404,21,20,7,21
405,11,16,27,6
406,16,10,25,18
407,15,18,13,3
408,21,17,23,26
409,26,15,17,10
410,31,18,11,24
411,8,22,29,19
412,22,11,14,3
413,23,27,4,9
414,21,25,12,10
415,25,24,22,1
416,23,17,28,26
417,19,20,5,20
418,17,12,21,16
419,11,12,27,25
420,19,15,7,6
421,29,13,8,30
422,17,22,13,18
423,11,17,11,16
424,18,18,15,17
425,30,23,29,19
426,15,14,13,24
427,13,28,4,1
428,25,24,9,26
429,28,24,3,22
430,28,17,6,12
431,25,11,23,10
432,25,18,28,2
433,7,23,5,20
434,17,14,21,18
435,22,19,7,25
436,18,21,14,8
437,16,12,13,30
438,25,16,27,16
439,13,12,6,7
440,20,14,11,25
441,9,3,17,29
442,20,29,21,15
443,25,10,24,19
444,18,17,3,22
445,15,23,12,20
446,29,21,9,2
447,17,22,28,10
448,13,18,18,5
449,22,21,8,4
450,16,19,14,30
451,21,17,6,29
452,25,16,23,28
453,18,23,1,22
454,20,15,11,27
455,20,25,18,7
456,17,25,19,17
457,32,17,21,25
458,18,14,24,14
459,17,17,26,4
460,20,12,9,29
461,12,20,16,5
462,25,12,20,10
463,15,26,24,30
464,15,14,8,15
465,22,15,6,17
466,20,25,23,9
467,16,17,1,5
468,21,7,3,12
469,14,19,2,10
470,11,20,20,28
471,11,23,11,22
472,7,23,18,7
473,21,6,21,25
474,21,25,26,14
475,21,22,13,4
476,25,22,19,27
477,20,13,29,30
478,16,13,22,27
479,13,18,23,13
480,20,22,1,9
481,20,11,3,18
482,12,17,2,17
483,18,15,6,28
484,15,14,20,5
485,13,10,16,12
486,24,24,11,7
487,18,33,21,19
488,16,20,8,25
489,15,28,24,15
490,27,17,26,30
491,15,14,14,4
492,14,23,20,23
493,18,28,7,14
494,20,21,3,17
495,19,22,10,15
496,25,18,8,24
497,26,13,6,2
498,27,25,9,13
499,6,9,16,18
500,15,16,5,11
501,19,14,19,12
502,24,31,27,29
503,24,19,25,4
504,16,14,22,14
505,27,27,30,23
506,20,12,3,11
507,22,22,12,1
508,21,19,28,13
509,28,22,15,24
510,25,12,21,27
511,25,15,7,20
512,20,19,10,4
513,16,18,26,8
514,31,26,9,22
515,25,11,30,24
516,15,14,1,2
517,13,11,16,14
518,26,22,5,17
519,30,24,19,18
520,22,18,10,29
521,19,16,26,8
522,19,18,4,21
523,20,14,12,6
524,17,9,3,13
525,18,10,28,15
526,21,24,27,20
527,17,26,7,11
528,11,20,22,30
529,14,16,1,14
530,22,20,28,24
531,14,19,5,9
532,23,26,17,18
533,26,18,19,23
534,17,27,8,16
535,17,16,10,25
536,14,25,26,29
537,25,28,12,13
538,19,14,4,2
539,17,12,5,6
540,16,23,11,20
541,23,12,27,7
542,17,29,15,19
543,22,20,18,9
544,14,12,21,23
545,36,23,29,16
546,16,15,15,26
547,14,11,17,30
548,16,22,8,3
549,17,5,20,24
550,20,21,4,14
551,33,30,6,5
552,22,18,12,28
553,23,16,23,19
554,12,11,2,27
555,21,30,11,7
556,21,16,18,8
557,16,24,10,1
558,25,32,25,9
559,30,20,13,16
560,16,21,17,30
561,14,25,21,3
562,26,16,29,26
563,20,28,4,15
564,19,14,6,24
565,29,28,22,21
566,19,23,23,12
567,17,21,20,27
568,16,21,28,17
569,27,16,5,2
570,26,31,18,25
571,23,18,19,11
572,14,16,10,9
573,24,15,14,16
574,25,20,26,1
575,26,15,22,15
576,20,26,7,3
577,23,20,11,29
578,18,18,8,13
579,25,14,12,25
580,14,10,23,5
581,28,18,28,20
582,15,12,17,4
583,10,27,21,30
584,22,10,27,9
585,20,19,19,2
586,23,18,18,13
587,18,18,8,6
588,22,26,24,16
589,12,17,14,1
590,11,12,27,3
591,25,14,5,29
592,30,22,7,19
593,17,14,10,22
594,30,27,26,14
595,15,20,9,23
596,25,28,28,25
597,27,24,12,4
598,12,12,16,2
599,16,18,15,29
600,9,18,11,18
601,16,33,21,7
602,10,11,24,6
603,24,16,13,1
604,14,24,30,19
605,20,9,3,5
606,20,14,20,17
607,20,14,15,27
608,15,19,8,14
609,9,15,26,22
610,40,14,16,21
611,28,30,23,9
612,22,11,28,4
613,30,20,29,6
614,21,29,10,24
615,16,20,25,22
616,23,29,13,7
617,22,16,9,18
618,17,6,30,5
619,16,6,1,17
620,22,13,3,19
621,28,15,20,12
622,17,18,15,27
623,15,10,8,24
624,26,11,26,11
625,25,31,23,21
626,9,15,2,3
627,15,10,16,17
628,28,19,28,4
629,17,9,14,7
630,22,24,25,6
631,17,21,9,19
632,24,15,12,1
633,23,22,30,20
634,25,16,27,10
635,22,19,5,21
636,17,20,18,24
637,29,10,29,22
638,11,19,13,8
639,25,16,26,11
640,10,8,16,17
641,16,9,4,3
642,25,22,12,15
643,24,17,28,1
644,11,20,18,6
645,19,21,29,23
646,21,11,25,7
647,12,25,9,20
648,15,17,13,11
649,21,15,5,10
650,12,20,2,21
651,13,20,27,26
652,10,27,8,22
653,37,27,25,7
654,10,15,14,23
655,23,24,4,3
656,13,14,17,12
657,26,17,6,19
658,28,34,20,28
659,20,19,30,10
660,18,19,1,16
661,15,23,18,29
662,16,18,15,24
663,30,23,14,11
664,19,17,17,28
665,25,21,27,2
666,23,24,8,25
667,16,29,13,23
