,homones,awayones,hometwos,awaytwos,homethrees,awaythrees,hometeam,awayteam
175,15,16,34,30,16,12,3,8
176,13,8,28,25,15,13,22,24
177,27,31,32,30,10,7,20,9
178,13,26,37,27,15,11,21,28
179,13,17,31,20,12,12,27,17
180,19,19,37,27,7,10,15,18
181,11,19,25,29,15,8,10,6
182,20,18,32,33,10,12,14,26
183,16,14,23,24,11,16,13,2
184,17,10,28,30,16,14,30,29
185,18,21,21,21,16,18,9,3
186,17,23,22,30,19,7,12,28
187,25,23,36,34,8,6,23,1
188,18,14,33,37,16,9,16,4
189,21,27,27,23,14,13,7,25
190,27,14,34,28,8,12,19,11
191,29,18,38,38,10,17,20,21
192,27,25,23,34,17,12,6,18
193,11,7,17,29,19,9,30,15
194,21,13,36,26,4,11,23,29
195,17,17,34,35,6,13,5,8
196,12,15,31,26,16,16,26,10
197,17,24,33,29,11,7,14,2
198,31,27,25,32,10,8,9,28
199,19,21,22,35,14,7,22,4
200,24,17,36,36,10,11,3,21
201,22,2,23,34,15,14,16,24
202,19,26,30,27,9,14,11,13
203,32,26,28,37,6,7,17,1
204,15,13,24,26,23,10,10,27
205,9,17,25,29,18,9,19,15
206,16,21,18,22,17,12,7,13
207,25,19,22,33,14,11,29,20
208,20,13,26,35,15,9,25,27
209,21,30,36,29,20,11,26,2
210,15,26,31,33,12,11,4,12
211,15,22,33,34,9,12,22,18
212,15,17,27,28,17,16,30,21
213,10,9,35,27,7,21,1,3
214,17,19,37,23,7,13,28,16
215,15,14,25,24,16,12,17,6
216,21,11,26,33,17,11,19,5
217,18,21,19,25,12,10,7,11
218,17,24,22,29,14,8,8,20
219,21,17,23,24,21,18,24,10
220,22,18,23,29,13,11,25,2
221,22,9,36,35,12,11,26,27
222,19,19,22,27,11,6,13,9
223,10,25,26,24,15,11,30,16
224,26,20,41,30,8,14,6,4
225,17,8,27,29,13,12,23,17
226,20,20,36,26,5,12,5,22
227,27,21,23,21,6,12,11,12
228,29,9,25,34,14,11,15,21
229,22,13,33,28,13,10,7,8
230,10,15,30,21,13,20,19,3
231,16,26,35,40,16,9,29,24
232,11,32,23,21,18,9,10,20
233,35,24,36,32,7,11,14,9
234,25,18,39,40,7,8,1,28
235,14,19,23,23,18,16,12,22
236,27,20,20,28,14,12,23,18
237,22,20,26,28,13,14,25,29
238,10,18,23,29,21,7,13,27
239,13,20,26,27,17,7,24,20
240,13,16,27,31,13,8,30,4
241,31,20,35,32,12,15,26,9
242,11,17,34,31,16,12,2,15
243,12,19,31,25,13,6,6,16
244,23,11,26,22,15,24,11,10
245,12,15,20,28,15,9,7,8
246,21,3,33,34,12,7,14,27
247,20,15,32,27,10,11,6,1
248,24,19,30,25,13,11,12,22
249,15,12,32,19,14,19,5,3
250,16,15,38,36,9,8,17,25
251,17,20,23,24,14,11,18,16
252,15,17,34,18,15,10,19,10
253,25,16,35,40,8,11,21,20
254,18,22,38,28,9,12,13,29
255,13,9,27,35,16,9,23,2
256,19,20,33,24,8,15,15,26
257,17,12,38,37,5,8,8,9
258,3,29,32,32,16,4,24,14
259,13,16,38,29,6,9,4,23
260,20,13,29,22,12,13,6,25
261,11,13,21,39,16,8,12,18
262,22,15,30,32,11,9,1,26
263,18,13,28,33,17,11,3,7
264,19,11,23,32,16,10,16,30
265,19,5,29,28,7,17,28,2
266,19,14,29,25,12,18,17,5
267,24,33,24,28,18,14,21,8
268,18,21,31,33,10,14,27,19
269,16,25,23,32,18,12,29,9
270,9,18,29,28,19,11,10,13
271,22,17,32,32,8,9,4,18
272,22,15,25,25,9,14,22,23
273,24,38,33,32,13,10,20,25
274,24,23,25,27,16,9,3,26
275,30,8,31,32,12,15,12,2
276,19,16,35,29,7,11,16,30
277,34,29,29,24,12,15,11,1
278,20,27,29,27,18,10,15,19
279,18,22,27,22,15,12,17,6
280,28,19,37,32,7,12,21,5
281,12,17,32,32,6,8,27,14
282,17,15,35,30,7,9,24,9
283,5,15,32,35,20,11,10,29
284,19,16,26,34,11,10,13,8
285,21,19,30,24,8,11,28,7
286,10,19,27,28,18,10,11,21
287,14,32,35,30,18,17,27,14
288,23,19,36,27,6,13,24,29
289,14,15,26,23,15,12,2,25
290,22,17,25,30,14,20,18,10
291,24,19,36,27,6,9,13,12
292,18,17,25,31,10,9,1,16
293,26,26,28,37,16,7,3,30
294,14,28,28,25,8,8,9,6
295,25,23,34,34,10,12,20,15
296,19,22,24,39,12,11,22,23
297,11,16,31,24,17,17,17,7
298,16,15,29,25,10,12,23,1
299,23,36,37,35,15,7,30,18
300,6,10,31,31,24,11,3,4
301,12,13,35,25,9,13,2,22
302,14,13,25,27,12,7,28,6
303,18,21,30,22,9,12,19,21
304,17,19,38,23,12,16,8,11
305,6,22,22,37,19,6,29,5
306,16,12,37,40,9,10,26,24
307,24,13,29,26,11,17,14,12
308,13,16,29,38,13,16,9,20
309,17,18,27,31,15,11,7,10
310,11,23,25,28,17,13,25,13
311,8,15,30,26,15,6,6,23
312,22,15,31,43,8,8,22,1
313,20,9,24,29,22,18,3,16
314,24,23,28,33,11,6,2,30
315,13,21,36,29,6,10,20,17
316,15,18,29,28,12,9,18,15
317,22,13,31,31,14,11,19,28
318,14,19,39,31,9,10,21,27
319,15,14,27,25,17,12,8,11
320,19,27,34,37,15,4,24,5
321,21,28,31,27,14,10,29,13
322,25,22,32,28,16,12,26,12
323,18,17,34,34,14,8,14,25
324,14,14,36,27,15,19,9,7
325,25,26,28,27,12,12,4,30
326,9,7,39,33,10,12,1,8
327,21,13,25,37,15,11,3,16
328,15,22,33,31,11,7,2,28
329,9,8,25,32,16,8,6,22
330,12,18,33,41,17,11,17,14
331,22,15,31,26,11,14,15,23
332,12,25,27,28,11,12,27,19
333,14,34,28,32,17,8,24,11
334,32,27,31,28,15,12,29,12
335,15,16,22,34,20,9,10,5
336,20,11,25,19,10,24,20,7
337,21,20,24,35,9,11,13,26
338,23,15,29,27,5,12,4,17
339,18,21,38,27,9,11,28,22
340,24,28,37,37,10,11,18,21
341,5,18,20,37,25,3,10,11
342,22,24,25,31,13,10,29,25
343,28,16,30,33,11,8,19,8
344,13,16,32,30,6,19,27,24
345,15,18,25,20,9,15,2,3
346,25,21,24,28,13,15,9,15
347,17,15,30,21,5,8,20,6
348,11,16,39,42,10,10,30,14
349,17,16,27,29,13,9,26,5
350,15,10,25,30,17,10,25,12
351,11,14,35,30,12,15,4,13
352,26,20,26,25,8,13,22,17
353,13,23,31,31,13,12,1,21
354,22,15,29,31,10,13,28,3
355,34,28,28,22,14,17,11,23
356,9,17,34,17,8,14,15,16
357,22,18,24,27,20,13,7,24
358,15,11,25,28,13,15,10,12
359,13,20,41,32,7,6,6,14
360,20,11,23,24,10,19,16,9
361,22,27,27,19,13,17,8,7
362,28,18,32,24,8,15,22,13
363,12,12,37,37,12,10,2,4
364,22,19,20,26,17,6,20,1
365,20,32,35,30,12,7,28,14
366,15,20,35,32,10,9,5,30
367,13,20,34,20,14,14,15,21
368,20,15,32,31,14,12,17,26
369,25,18,36,20,8,19,18,12
370,18,13,31,20,8,15,19,9
371,17,19,31,31,15,14,29,10
372,16,11,29,33,8,16,24,3
373,11,19,34,20,12,17,16,13
374,13,11,33,34,13,10,27,11
375,16,15,28,35,16,12,25,8
376,22,26,31,28,6,13,4,20
377,17,19,25,31,18,10,12,30
378,19,27,32,26,10,10,22,28
379,17,14,32,36,13,10,2,1
380,17,20,24,19,10,16,6,26
381,19,23,30,33,18,11,23,14
382,17,20,35,25,9,11,15,9
383,28,9,38,21,8,22,19,24
384,17,20,26,28,13,14,29,18
385,10,19,28,27,13,11,7,17
386,20,24,26,35,13,7,16,27
387,18,23,26,43,21,9,12,2
388,17,15,21,21,16,19,30,13
389,18,16,28,28,12,10,6,21
390,17,22,35,30,19,11,5,7
391,16,19,34,26,13,12,10,3
392,13,17,39,24,8,15,8,29
393,25,18,30,35,13,10,25,18
394,21,13,42,36,8,13,19,24
395,14,21,26,35,17,11,9,14
396,24,23,32,23,8,10,20,26
397,25,33,22,24,14,6,22,28
398,26,26,33,27,13,11,23,4
399,16,19,34,41,13,7,1,5
400,11,14,34,21,6,12,11,17
401,15,14,17,23,11,9,12,16
402,15,16,26,36,11,8,30,2
403,15,17,37,25,13,12,15,1
404,21,20,17,32,22,10,7,21
405,11,16,37,40,9,5,27,6
406,16,10,27,36,21,10,25,18
407,15,18,34,24,10,9,13,3
408,21,17,27,28,16,10,23,26
409,26,15,33,18,12,20,17,10
410,31,18,22,20,12,13,11,24
411,8,22,34,33,15,4,29,19
412,22,11,36,27,8,19,14,3
413,23,27,30,30,17,18,4,9
414,21,25,28,26,16,14,12,10
415,25,24,31,32,16,12,22,1
416,23,17,41,28,6,17,28,26
417,19,20,37,27,9,18,5,20
418,17,12,32,13,9,24,21,16
419,11,12,34,31,11,18,27,25
420,19,15,16,33,13,8,7,6
421,29,13,50,29,4,19,8,30
422,17,22,20,27,14,4,13,18
