,home,away,hometeam,awayteam
318,48,41,21,27
319,44,37,8,11
320,49,41,24,5
321,45,37,29,13
322,48,40,26,12
323,48,42,14,25
324,51,46,9,7
325,40,39,4,30
326,49,45,1,8
327,40,48,3,16
328,44,38,2,28
329,41,40,6,22
330,50,52,17,14
331,42,40,15,23
332,38,40,27,19
333,45,40,24,11
334,46,40,29,12
335,42,43,10,5
336,35,43,20,7
337,33,46,13,26
338,34,39,4,17
339,47,38,28,22
340,47,48,18,21
341,45,40,10,11
342,38,41,29,25
343,41,41,19,8
344,38,49,27,24
345,34,35,2,3
346,37,43,9,15
347,35,29,20,6
348,49,52,30,14
349,40,38,26,5
350,42,40,25,12
351,47,45,4,13
352,34,38,22,17
353,44,43,1,21
354,39,44,28,3
355,42,39,11,23
356,42,31,15,16
357,44,40,7,24
358,38,43,10,12
359,48,38,6,14
360,33,43,16,9
361,40,36,8,7
362,40,39,22,13
363,49,47,2,4
364,37,32,20,1
365,47,37,28,14
366,45,41,5,30
367,48,34,15,21
368,46,43,17,26
369,44,39,18,12
370,39,35,19,9
371,46,45,29,10
372,37,49,24,3
373,46,37,16,13
374,46,44,27,11
375,44,47,25,8
376,37,41,4,20
377,43,41,12,30
378,42,36,22,28
379,45,46,2,1
380,34,35,6,26
381,48,44,23,14
382,44,36,15,9
383,46,43,19,24
384,39,42,29,18
385,41,38,7,17
386,39,42,16,27
387,47,52,12,2
388,37,40,30,13
389,40,38,6,21
390,54,41,5,7
391,47,38,10,3
392,47,39,8,29
393,43,45,25,18
394,50,49,19,24
395,43,46,9,14
396,40,33,20,26
397,36,30,22,28
398,46,38,23,4
399,47,48,1,5
400,40,33,11,17
401,28,32,12,16
402,37,44,30,2
403,50,37,15,1
404,39,42,7,21
405,46,45,27,6
406,48,46,25,18
407,44,33,13,3
408,43,38,23,26
409,45,38,17,10
410,34,33,11,24
411,49,37,29,19
412,44,46,14,3
413,47,48,4,9
414,44,40,12,10
415,47,44,22,1
416,47,45,28,26
417,46,45,5,20
418,41,37,21,16
419,45,49,27,25
420,29,41,7,6
421,54,48,8,30
422,34,31,13,18
423,44,39,11,16
424,56,35,15,17
425,42,47,29,19
426,34,44,13,24
427,39,41,4,1
428,39,43,9,26
429,35,42,3,22
430,38,42,6,12
431,39,39,23,10
432,41,46,28,2
433,36,37,5,20
434,41,43,21,18
435,45,39,7,25
436,48,39,14,8
437,37,36,13,30
438,33,42,27,16
439,40,36,6,7
440,36,40,11,25
441,48,39,17,29
442,38,34,21,15
443,39,45,24,19
444,31,33,3,22
445,39,39,12,20
446,42,44,9,2
447,40,43,28,10
448,57,46,18,5
449,43,41,8,4
450,46,44,14,30
451,43,36,6,29
452,32,37,23,28
453,48,45,1,22
454,40,46,11,27
455,42,31,18,7
456,42,45,19,17
457,40,44,21,25
458,46,39,24,14
459,45,49,26,4
460,41,47,9,29
461,38,40,16,5
462,45,35,20,10
463,41,38,24,30
464,40,36,8,15
465,41,39,6,17
466,41,31,23,9
467,39,43,1,5
468,39,46,3,12
469,54,41,2,10
470,42,42,20,28
471,41,41,11,22
472,42,34,18,7
473,36,39,21,25
474,48,42,26,14
475,41,37,13,4
476,44,43,19,27
477,42,46,29,30
478,50,44,22,27
479,47,41,23,13
480,49,37,1,9
481,44,44,3,18
482,46,37,2,17
483,39,42,6,28
484,43,45,20,5
485,41,40,16,12
486,37,36,11,7
487,47,41,21,19
488,47,39,8,25
489,38,45,24,15
490,37,49,26,30
491,48,52,14,4
492,43,39,20,23
493,44,39,7,14
494,50,42,3,17
495,43,39,10,15
496,45,45,8,24
497,39,47,6,2
498,44,49,9,13
499,47,43,16,18
500,45,50,5,11
501,41,35,19,12
502,48,39,27,29
503,43,41,25,4
504,42,49,22,14
505,39,39,30,23
506,43,38,3,11
507,47,40,12,1
508,43,45,28,13
509,36,43,15,24
510,46,46,21,27
511,44,45,7,20
512,41,38,10,4
513,40,41,26,8
514,36,35,9,22
515,47,39,30,24
516,42,42,1,2
517,44,37,16,14
518,42,41,5,17
519,39,42,19,18
520,37,37,10,29
521,47,49,26,8
522,46,42,4,21
523,48,50,12,6
524,44,43,3,13
525,39,48,28,15
526,45,38,27,20
527,47,38,7,11
528,42,42,22,30
529,48,52,1,14
530,40,35,28,24
531,53,41,5,9
532,43,40,17,18
533,43,42,19,23
534,45,39,8,16
535,42,42,10,25
536,50,46,26,29
537,46,43,12,13
538,38,48,4,2
539,39,39,5,6
540,29,35,11,20
541,47,50,27,7
542,47,32,15,19
543,36,43,18,9
544,35,46,21,23
545,35,45,29,16
546,46,39,15,26
547,34,50,17,30
548,45,40,8,3
549,36,34,20,24
550,42,45,4,14
551,48,47,6,5
552,45,41,12,28
553,41,42,23,19
554,58,42,2,27
555,38,34,11,7
556,45,42,18,8
557,54,53,10,1
558,48,34,25,9
559,29,39,13,16
560,48,42,17,30
561,58,40,21,3
562,38,46,29,26
563,38,47,4,15
564,30,32,6,24
565,42,36,22,21
566,48,45,23,12
567,45,41,20,27
568,38,35,28,17
569,43,42,5,2
570,39,33,18,25
571,41,39,19,11
572,45,45,10,9
573,40,43,14,16
574,41,45,26,1
575,39,48,22,15
576,34,41,7,3
577,38,46,11,29
578,45,34,8,13
579,38,38,12,25
580,40,48,23,5
581,35,39,28,20
582,37,53,17,4
583,50,38,21,30
584,45,44,27,9
585,35,37,19,2
586,46,44,18,13
587,43,40,8,6
588,34,33,24,16
589,51,44,14,1
590,49,47,27,3
591,44,46,5,29
592,42,45,7,19
593,33,44,10,22
594,45,50,26,14
595,44,46,9,23
596,40,34,28,25
597,38,38,12,4
598,38,39,16,2
599,46,45,15,29
600,38,38,11,18
601,46,31,21,7
602,37,45,24,6
603,37,44,13,1
604,42,49,30,19
605,38,39,3,5
606,38,39,20,17
607,45,44,15,27
608,46,41,8,14
609,52,41,26,22
610,31,44,16,21
611,54,36,23,9
612,45,47,28,4
613,38,42,29,6
614,37,41,10,24
615,42,40,25,22
616,39,30,13,7
617,48,43,9,18
618,38,41,30,5
619,39,45,1,17
620,44,45,3,19
621,38,43,20,12
622,52,50,15,27
623,48,39,8,24
624,45,44,26,11
625,39,44,23,21
626,38,41,2,3
627,42,35,16,17
628,43,41,28,4
629,44,48,14,7
630,40,44,25,6
631,43,42,9,19
632,40,41,12,1
633,36,41,30,20
634,40,55,27,10
635,38,47,5,21
636,47,41,18,24
637,36,42,29,22
638,41,41,13,8
639,47,43,26,11
640,45,34,16,17
641,41,47,4,3
642,38,48,12,15
643,36,43,28,1
644,45,37,18,6
645,43,40,29,23
646,49,43,25,7
647,37,40,9,20
648,46,38,13,11
649,48,41,5,10
650,39,40,2,21
651,48,49,27,26
652,48,41,8,22
653,43,41,25,7
654,48,43,14,23
655,41,43,4,3
656,48,43,17,12
657,39,38,6,19
658,42,38,20,28
659,42,45,30,10
660,45,43,1,16
661,46,45,18,29
662,52,39,15,24
663,49,49,14,11
664,46,46,17,28
665,37,37,27,2
666,44,38,8,25
667,41,39,13,23
668,40,42,20,30
669,44,49,7,1
670,46,48,11,4
671,44,42,15,6
672,37,50,19,16
673,47,39,21,12
674,45,37,29,13
675,45,42,8,18
676,43,43,14,26
677,39,50,9,5
678,43,40,3,10
679,45,46,18,28
680,39,43,24,2
681,32,41,25,23
682,39,41,22,19
683,56,49,1,20
684,42,42,6,10
685,37,33,7,16
686,51,51,27,13
687,51,37,8,12
688,37,43,29,2
689,38,43,14,15
690,41,45,26,21
691,46,38,28,3
692,51,42,30,22
693,45,45,1,4
694,48,39,6,17
695,38,38,18,11
696,38,36,24,12
697,46,49,26,23
698,35,37,16,19
699,41,40,28,20
700,35,35,7,13
701,36,40,8,21
702,39,40,24,15
703,41,43,10,2
704,37,45,25,14
705,43,55,9,17
706,43,36,22,3
707,44,39,5,1
708,44,41,11,18
709,41,38,29,4
710,55,47,25,27
711,49,40,26,15
712,42,43,12,5
713,34,32,16,3
714,37,40,20,6
715,38,39,19,8
716,47,42,7,30
717,47,39,24,4
718,42,51,14,13
719,46,41,22,12
720,42,49,23,2
721,42,39,11,30
722,37,38,17,8
723,37,40,19,18
724,53,50,21,1
725,43,42,10,15
726,51,47,25,29
727,35,48,26,28
728,40,40,14,27
729,41,44,3,20
730,43,48,2,9
731,39,37,4,5
732,39,40,11,6
733,35,33,24,7
