,home,away,hometeam,awayteam
318,119,111,21,27
319,120,100,8,11
320,132,113,24,5
321,125,112,29,13
322,137,114,26,12
323,128,109,14,25
324,131,125,9,7
325,117,116,4,30
326,117,109,1,8
327,116,120,3,16
328,114,105,2,28
329,107,96,6,22
330,129,133,17,14
331,117,109,15,23
332,99,117,27,19
333,121,122,24,11
334,139,119,29,12
335,119,111,10,5
336,100,121,20,7
337,96,123,13,26
338,96,105,4,17
339,121,108,28,22
340,128,135,18,21
341,120,101,10,11
342,111,116,29,25
343,121,106,19,8
344,95,133,27,24
345,92,103,2,3
346,112,122,9,15
347,92,81,20,6
348,119,130,30,14
349,110,101,26,5
350,116,100,25,12
351,117,119,4,13
352,102,109,22,17
353,114,121,1,21
354,110,116,28,3
355,132,123,11,23
356,101,93,15,16
357,130,111,7,24
358,104,112,10,12
359,116,102,6,14
360,96,116,16,9
361,115,116,8,7
362,116,111,22,13
363,122,116,2,4
364,113,89,20,1
365,126,113,28,14
366,115,111,5,30
367,123,102,15,21
368,126,113,17,26
369,121,115,18,12
370,104,98,19,9
371,124,123,29,10
372,98,125,24,3
373,115,110,16,13
374,118,109,27,11
375,120,121,25,8
376,102,121,4,20
377,121,111,12,30
378,113,109,22,28
379,120,116,2,1
380,95,106,6,26
381,133,122,23,14
382,114,103,15,9
383,128,117,19,24
384,108,118,29,18
385,105,106,7,17
386,111,115,16,27
387,133,136,12,2
388,107,114,30,13
389,110,102,6,21
390,144,115,5,7
391,123,107,10,3
392,115,110,8,29
393,124,118,25,18
394,129,124,19,24
395,117,124,9,14
396,112,99,20,26
397,111,99,22,28
398,131,113,23,4
399,123,122,1,5
400,97,92,11,17
401,82,87,12,16
402,100,112,30,2
403,128,103,15,1
404,121,114,7,21
405,112,111,27,6
406,133,112,25,18
407,113,93,13,3
408,123,103,23,26
409,128,111,17,10
410,111,97,11,24
411,121,100,29,19
412,118,122,14,3
413,134,141,4,9
414,125,119,12,10
415,135,124,22,1
416,123,124,28,26
417,120,128,5,20
418,108,110,21,16
419,112,128,27,25
420,90,105,7,6
421,141,128,8,30
422,99,88,13,18
423,108,111,11,16
424,142,101,15,17
425,132,129,29,19
426,95,111,13,24
427,106,125,4,1
428,113,122,9,26
429,109,117,3,22
430,118,112,6,12
431,118,106,23,10
432,116,119,28,2
433,91,114,5,20
434,110,112,21,18
435,130,110,7,25
436,126,108,14,8
437,102,93,13,30
