K,D,maskSeed,chainSeed,cov80,cov90,cov95,cov99
25.0,1.0,101.0,101.0,0.9223391812865497,0.9656140350877193,0.9805847953216374,0.9928654970760233
25.0,1.0,101.0,102.0,0.9222222222222223,0.9664327485380116,0.9810526315789474,0.9925146198830409
25.0,1.0,101.0,103.0,0.9224561403508772,0.9669005847953216,0.9803508771929824,0.992280701754386
25.0,1.0,101.0,104.0,0.9214035087719298,0.9664327485380116,0.9811695906432748,0.9923976608187135
25.0,1.0,102.0,101.0,0.9188484776685227,0.9642222485487502,0.9779646961260514,0.9894562255656912
25.0,1.0,102.0,102.0,0.9192038857955218,0.9637483710460846,0.977846226750385,0.9892192868143584
25.0,1.0,102.0,103.0,0.9196777632981874,0.9642222485487502,0.9786755123800498,0.9895746949413576
25.0,1.0,102.0,104.0,0.9190854164198554,0.9633929629190854,0.9779646961260514,0.9895746949413576
25.0,1.0,103.0,101.0,0.9232374768089053,0.9655612244897959,0.9798237476808905,0.9942022263450835
25.0,1.0,103.0,102.0,0.9240491651205937,0.9649814471243042,0.9808673469387755,0.9939703153988868
25.0,1.0,103.0,103.0,0.9235853432282004,0.9657931354359925,0.9805194805194806,0.9938543599257885
25.0,1.0,103.0,104.0,0.9228896103896104,0.9649814471243042,0.9800556586270872,0.9943181818181818
25.0,1.0,104.0,101.0,0.9195035460992907,0.9639479905437353,0.9781323877068558,0.9908983451536643
25.0,1.0,104.0,102.0,0.9193853427895982,0.9637115839243499,0.9781323877068558,0.9908983451536643
25.0,1.0,104.0,103.0,0.9196217494089834,0.9643026004728132,0.9782505910165484,0.9908983451536643
25.0,1.0,104.0,104.0,0.9197399527186761,0.9643026004728132,0.9783687943262411,0.9911347517730497
25.0,1.0,105.0,101.0,0.9261823729609201,0.9694871493956109,0.9835700035207136,0.9935453585259946
25.0,1.0,105.0,102.0,0.9251261589015374,0.9670226499237179,0.9825137894613308,0.9929585729374486
25.0,1.0,105.0,103.0,0.9271212299025936,0.9667879356882995,0.9820443609904941,0.9933106442905763
25.0,1.0,105.0,104.0,0.9275906583734304,0.9670226499237179,0.9819270038727849,0.9929585729374486
25.0,2.0,101.0,101.0,0.8649122807017544,0.936374269005848,0.9629239766081872,0.9860818713450292
25.0,2.0,101.0,102.0,0.8654970760233918,0.9361403508771929,0.9626900584795322,0.9859649122807017
25.0,2.0,101.0,103.0,0.8651461988304093,0.9348538011695906,0.9619883040935673,0.9860818713450292
25.0,2.0,101.0,104.0,0.8653801169590644,0.9366081871345029,0.9632748538011696,0.9857309941520468
25.0,2.0,102.0,101.0,0.8619831773486554,0.9317616396161592,0.9604312285274257,0.9825850017770407
25.0,2.0,102.0,102.0,0.8621016467243218,0.9324724558701576,0.9605496979030921,0.9832958180310389
25.0,2.0,102.0,103.0,0.8613908304703234,0.9329463333728232,0.9604312285274257,0.9831773486553725
25.0,2.0,102.0,104.0,0.8625755242269874,0.93140623148916,0.9600758204004265,0.9831773486553725
25.0,2.0,103.0,101.0,0.865491651205937,0.9326298701298701,0.963126159554731,0.9855055658627088
25.0,2.0,103.0,102.0,0.864448051948052,0.9334415584415584,0.963126159554731,0.9855055658627088
25.0,2.0,103.0,103.0,0.8668831168831169,0.9334415584415584,0.9632421150278293,0.985969387755102
25.0,2.0,103.0,104.0,0.8652597402597403,0.9332096474953617,0.9623144712430427,0.9857374768089053
25.0,2.0,104.0,101.0,0.8625295508274232,0.9310874704491726,0.958983451536643,0.9817966903073286
25.0,2.0,104.0,102.0,0.8640661938534279,0.9316784869976359,0.958983451536643,0.9823877068557919
25.0,2.0,104.0,103.0,0.8650118203309692,0.9302600472813238,0.9588652482269504,0.9822695035460993
25.0,2.0,104.0,104.0,0.8650118203309692,0.9313238770685579,0.9591016548463357,0.9823877068557919
25.0,2.0,105.0,101.0,0.8766576692876423,0.9369792277901655,0.9643234362164065,0.9876775026405351
25.0,2.0,105.0,102.0,0.8752493838751321,0.9361577279662011,0.9643234362164065,0.987560145522826
25.0,2.0,105.0,103.0,0.8761882408168056,0.9367445135547471,0.963971364863279,0.9876775026405351
25.0,2.0,105.0,104.0,0.8766576692876423,0.9362750850839103,0.9645581504518249,0.9876775026405351
25.0,3.0,101.0,101.0,0.827485380116959,0.9093567251461988,0.9459649122807018,0.9783625730994152
25.0,3.0,101.0,102.0,0.8288888888888889,0.9094736842105263,0.9470175438596491,0.9790643274853801
25.0,3.0,101.0,103.0,0.8283040935672514,0.9086549707602339,0.9458479532163743,0.9787134502923976
25.0,3.0,101.0,104.0,0.8278362573099415,0.9101754385964912,0.9460818713450292,0.9788304093567252
25.0,3.0,102.0,101.0,0.8269162421514039,0.905579907593887,0.9452671484421277,0.9764245942423884
25.0,3.0,102.0,102.0,0.8266793034000711,0.9035659282075583,0.9455040871934605,0.976306124866722
25.0,3.0,102.0,103.0,0.8258500177704063,0.9062907238478853,0.9449117403151286,0.976306124866722
25.0,3.0,102.0,104.0,0.827271650278403,0.9060537850965525,0.9450302096907949,0.9754768392370572
25.0,3.0,103.0,101.0,0.8259508348794063,0.9102504638218923,0.9461966604823747,0.9791280148423006
