x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264
0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,5,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,38,18,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,45,0,0,0,0,1
0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,11,0,0,1,0,0,0,0,1,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,15,0,22,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,2,0,0,0,0,3,0,0,9,0,0,17,31,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,33,0,0,0,0,0
0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,16,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,33,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,29,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,1,23,0,0,6,18,0,0,0,0,0,0,4,0,0,6,0,1,0,5,0,19,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,2,34,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,1,5,0,1,3,0,1,1,0,11,0,0,0,2,0,4,0,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,1,0,0,0,11,0,0,0,0,0,0,3,0,0,0,16,0,0,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,8,0,0,0,0,8,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,9,29,5,2,0,0,0,0,0,0,0,0,0,0,1,1,3,11,4,3,0,0,0,0,0
0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,2,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,12,0,4,0,0,6,0,2,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,34,0,0,1,0,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,5,7,22,11,3,0,0,0,0,0,0,0,0,0,0,2,0,1,14,7,4,0,0,0,0,0
0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,10,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,5,0,7,0,0,0,0,0,0,0,0,6,0,54,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,4,0,0,4,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,0,0,0,0,0
0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,3,0,0,4,0,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,0,0,0,0,0,2
0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,18,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,6,0,0,7,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,18,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,15,0,65,0,0,0,0,0,0,0,1,0,0,0,1,2,12,0,0,0,1,0,1,4,0,1,0,0,2,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,7,0,1,0,0,8,1,0,0,0,10,0,9,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,51,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,2,0,1,3,0,1,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,1,5,0,7,16,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,14,6,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,10,0,2,0,0,8,0,1,0,0,7,0,2,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,49,0,0,0,0,0,1,0,0,0,2,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,2,0,4,18,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,9,10,8,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,0,1,0,0,6,1,1,0,0,7,0,2,20,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,2,5,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,31,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,4,3,0,0,0,0,4,0,0,0,0,2,0,0,0,17,11,16,3,0,3,0,0,0
