originnum,destnum,indices,dist,Dmean,originlon,originlat,destlon,destlat
3,52,[5 168 399 484 861 881 1152 1207 1514 1561 1943 2342 2379 2759 2847 3165 3233 3492 3603 3784 3960 4205 4429 4789 4858 4982 5254 5522 5528 5886 5978 6271 6323 6688 6722 6981 7036 7426 7497 7919 8007 8244 8354 8625 8780 9153 9222 9569 9652 10050 10134 10309 10360 10642 10787 11134 11352 11571 12002 12119 12465 12486 12826 12893 13287 13340 13736 13781 13906 14002 14377 14468 14664 14952 15200 15223 15493 15507 16000 16118 16397 16496 16763 16790 17110 17129 17414 17449 18033 18075 18421 18492 18637 18735 19057 19497 19570 19777 19816 20433 20437 20621 20841 21126 21170 21448 21482 21854 21890 22235 22296 22606 22645 23160 23164 23435 23612 23913 24056 24157 24295 24474 24481 24560 24691 24817 25249 25256 25655 25691 25931 26021 26270 26364 26835 26918 27125 27134 27506 27582 27987 28126 28358 28561 28933 28957 29143 29199 29782 29854 30054 30229 30367 30535 30990 31076 31260 31273 31680 31781 32200 32219 32305 32361 32658 32676 33031 33040 33278 33335 33674 33737 33794 34015 34220 34525 34669 34810 34959 35085 35209 35426 35654 35906 36063 36241 36571 36752 36831 37303 37506 37694 37864 38186 38314 38559 38639 38706 38918 39088 39169 39258 39543 39568 39791 40048 40108 40197 40399 40401 40523 40619 40857 41059 41317 41440 41554 41805 42085 42229 42514 42707],404,3.0,-84.428101,33.6367,-81.30899810791016,28.429399490356445
3,55,[150 387 842 1199 1752 1907 2525 2723 3154 3435 3982 4420 4624 5218 5416 5843 6244 6661 7016 7367 7865 8234 9246 9669 9878 10314 10762 11213 11551 12063 12348 12866 13336 13640 14142 14448 14727 15272 15716 15868 16294 16760 17047 17666 17998 18319 18828 19132 19588 19985 20318 20640 21108 21622 21964 22282 22702 23014 23409 23991 24149 24541 24878 25198 25719 26057 26439 26769 27153 27560 28095 28516 28760 29286 29647 30013 30486 30902 31331 31817 32120 32482 32770 33177 33327 33588 33771 33934 34143 34447 35339 35554 35868 36015 36094 36422 36490 36767 37079 37370 37571 37844 38145 38286 38708 38911 39332 39758 39915 40609 40978 41695 42578],594,3.88,-84.428101,33.6367,-80.29060363769531,25.79319953918457
3,69,[263 989 1801 2183 3000 3709 4554 4899 5713 6462 7304 8524 8928 9802 10604 11386 11761 12672 13498 14193 14998 15389 16196 16935 17704 18103 18924 19747 20522 20958 21741 22473 23292 23672 24432 24633 25488 26177 27021 27394 28275 29076 29879 30339 31139 31969 32834 33792 34013 34218 34523 34667 34792 34957 35080 35207 35375 35612 36004 36161 36492 36757 37218 37228 37444 37925 38111 38320 38494 38634 38791 38992 39091 39132 39336 39511 39653 39734 39922 40089 40124 40589 40700 40778 41032 41306 41425 41783 42036 42253 42545 42767],666,3.4,-84.428101,33.6367,-75.241096,39.871899
3,76,[60 463 788 1252 1596 2055 2278 2918 3193 3597 3841 4360 4827 5154 5617 5846 6297 6501 7005 7515 7987 8287 8722 9254 9637 9995 10299 10771 11112 11689 11972 12537 13000 13281 13628 13975 14346 14761 15456 15993 16371 16838 17256 17586 18012 18333 18788 19136 19535 19806 20215 20779 21079 21602 22013 22404 22570 22967 23493 24266 24396 24850 25332 25746 26117 26476 26716 27330 27776 27975 28493 28984 29359 29694 30062 30489 30977 31357 31695 32209 32416 32699 33143 33443 33618],356,3.44,-84.428101,33.6367,-78.787498,35.877602
3,84,[158 801 1493 1923 2835 3506 4452 4751 5678 6182 7070 7388 8274 8657 9678 10284 11181 11605 12391 13266 13996 14836 15213 16015 16842 17536 17832 18723 19527 20426 20724 21689 22205 23121 23420 23881 25324 25959 26861 27174 27990 28897 29594 30038 30911 31722 32365 32625 33496],2139,2.12,-84.428101,33.6367,-122.374821,37.619806
3,86,[3 859 1512 1913 2757 3601 4427 4856 5520 6321 6979 7495 8352 8623 9650 10358 11071 11493 12484 13338 14662 15221 16116 17447 18031 18635 20431 20619 21446 23158 23433 25254 25929 26833 27132 27985 28955 29780 30227 31074 31779 32303 32674],1547,5.34,-84.428101,33.6367,-66.001801,18.4394
3,87,[482 1150 2340 3163 3782 5252 5976 6686 8005 9220 10132 10785 12117 12891 13779 14466 15549 16395 17108 18419 19134 19953 21168 21888 22604 24689 25653 26362 27504 28356 29141 30533 31258 32198 33029 41815 42482],1590,1.04,-84.428101,33.6367,-111.979866,40.78886
3,93,[446 1242 2397 3181 3883 5211 5857 6792 7812 9141 10155 10716 12056 12954 13761 15677 16431 17050 18217 19048 20054 21165 22051 22835 23789 24251 24828 25638 26324 27670 28386 29232 30456 31348 32044 33129],406,6.3,-84.428101,33.6367,-82.533203,27.9755
3,94,[152 379 889 1177 1613 2068 2373 2950 3289 3532 4056 4441 4650 5047 5540 6016 6246 6563 7214 7398 7867 8400 8825 9301 9747 9954 10519 10888 11138 11720 12139 12433 12759 13151 13660 14012 14356 14686 15128 15435 16035 16343 16653 17079 17525 17936 18452 18713 19175 19444 19919 20465 20665 20995 21521 21940 22392 22611 22978 23635 23958 24299 24449 24517 24901 25394 25760 26076 26246 26911 27210 27567 27901 28503 28976 29323 29770 30097 30423 30870 31244 31774 32048 32436 32703 32928 33504 33568],701,1.0,-84.428101,33.6367,-74.813499,40.276699
4,25,[313 645 996 1149 1788 2200 2628 2994 3349 3679 4094 4535 4912 5292 5765 6078 6407 6866 7256 7626 8064 8479 8900 9334 9781 10224 10591 11011 11435 11751 12173 12638 13040 13466 13828 14132 14617 14980 15342 15747 16153 16538 16895 17306 17730 18111 18525 18980 19382 19737 20110 20554 20913 21342 21779 22107 22454 22884 23338 23683 24005 24329 24668 25016 25451 25705 26186 26578 26986 27422 27655 28251 28677 29070 29883 30294 30772 31115 31562 31950 32541 32886 33208 33487 33661 33806 33909 34106 34178 34293 34417 34540 34567 34634 34751 34781 34871 34947 35023 35093 35131 35183 35292 35356 35582 35679 35898 35944 36141 36284 36396 36558 36724 36857 37069 37282 37482 37631 37884 38136 38260 38407 38662 38866 38892 39275 39443 39599 39718 39903 40234 40514 40712 40908 41052 41594 41881 42045 42350 42592],775,2.62,-97.662015,30.197535,-104.672996521,39.861698150635
