K,Q,D,j,mask,lppd1,lppd2,lppd3
10.0,1.0,1.0,1.0,101.0,-0.4208024708956775,-3.818287229796774,-9.161149580340355
10.0,3.0,1.0,1.0,101.0,-0.4592271798921754,-3.5560852283235604,-9.061527256615959
10.0,5.0,1.0,1.0,101.0,-0.4495663661971088,-3.3964053837136094,-8.783410539743956
1.0,1.0,1.0,1.0,101.0,-0.5946375390592769,-3.7876302078172017,-9.299134338157392
1.0,3.0,1.0,1.0,101.0,-0.5524642342755273,-3.567869920587671,-9.194764115845787
1.0,5.0,1.0,1.0,101.0,-0.4804209156988116,-3.3859165799789452,-9.405073958841932
25.0,1.0,1.0,1.0,101.0,-0.4721463487855859,-3.7286927011263735,-9.42537804508718
25.0,3.0,1.0,1.0,101.0,-0.476075542392716,-3.5106013308005775,-9.200436463768295
25.0,5.0,1.0,1.0,101.0,-0.4934379851149157,-3.3233249494287795,-8.813710741213374
5.0,1.0,1.0,1.0,101.0,-0.43234271978848543,-3.853068814511662,-9.244342850488994
5.0,3.0,1.0,1.0,101.0,-0.4316250086463268,-3.5394657196186072,-9.081804199116117
5.0,5.0,1.0,1.0,101.0,-0.42633040129404615,-3.3975188997786914,-8.782524705410358
10.0,1.0,3.0,2.0,101.0,-0.5356434278041762,-3.5863084551107156,-9.504827728458986
10.0,3.0,3.0,2.0,101.0,-0.5122981564927191,-3.4738600080176627,-10.803415304998918
10.0,5.0,3.0,2.0,101.0,-0.49654204826720216,-3.359977990073285,-10.754454925207686
1.0,1.0,3.0,2.0,101.0,-0.827206431606719,-3.61485066232667,-9.963008478735365
1.0,3.0,3.0,2.0,101.0,-0.6148688951899332,-3.487811452578286,-10.441849002306807
1.0,5.0,3.0,2.0,101.0,-0.5460301793907345,-3.4185388415148155,-11.65381293185978
25.0,1.0,3.0,2.0,101.0,-0.6056816898422602,-3.5301557438385074,-10.210144875771237
25.0,3.0,3.0,2.0,101.0,-0.5587045393717264,-3.4605064891038624,-11.316564821831351
25.0,5.0,3.0,2.0,101.0,-0.5591862744387388,-3.337200221211279,-9.748510334739622
5.0,1.0,3.0,2.0,101.0,-0.5683393486666549,-3.5835812326139815,-10.952511202183072
5.0,3.0,3.0,2.0,101.0,-0.5045996608417168,-3.463911786934622,-10.970555525530873
5.0,5.0,3.0,2.0,101.0,-0.4811369066965143,-3.421612802692858,-9.77778362845829
10.0,1.0,1.0,1.0,102.0,-0.4294384945957019,-3.710338782836592,-9.02393218380016
10.0,3.0,1.0,1.0,102.0,-0.43873126398306883,-3.3748608895430734,-8.793871036913231
10.0,5.0,1.0,1.0,102.0,-0.43186485427230303,-3.238517750690638,-8.909745813251188
1.0,1.0,1.0,1.0,102.0,-0.6069395395771275,-3.779706335833833,-9.432341417657954
1.0,3.0,1.0,1.0,102.0,-0.5138066449597907,-3.4997585075997693,-9.01078936675615
1.0,5.0,1.0,1.0,102.0,-0.4744074155757775,-3.28474636108181,-8.999281266167477
25.0,1.0,1.0,1.0,102.0,-0.46293628790333774,-3.6358031507218813,-9.32076467673612
25.0,3.0,1.0,1.0,102.0,-0.4770742608569903,-3.2746992889162616,-9.93712906444914
25.0,5.0,1.0,1.0,102.0,-0.4916628416646853,-3.155716205569064,-9.357770373921383
5.0,1.0,1.0,1.0,102.0,-0.40951520844188777,-3.7586831544075396,-9.035028901847882
5.0,3.0,1.0,1.0,102.0,-0.43643393267728836,-3.391487939115671,-8.90787640128581
5.0,5.0,1.0,1.0,102.0,-0.40664651302181126,-3.319143055234698,-8.872799715172729
10.0,1.0,3.0,2.0,102.0,-0.5340190239988803,-3.497114405942836,-9.497042879875067
10.0,3.0,3.0,2.0,102.0,-0.5044131305644854,-3.322186067090951,-10.85610900122489
10.0,5.0,3.0,2.0,102.0,-0.4826700252304177,-3.2551915252005807,-9.351349736195171
1.0,1.0,3.0,2.0,102.0,-0.807876234782537,-3.5841104765408316,-10.173515401919808
1.0,3.0,3.0,2.0,102.0,-0.574544852739759,-3.414774418851254,-9.794047509628953
1.0,5.0,3.0,2.0,102.0,-0.5282946380147121,-3.3763721019732036,-9.906700886762204
25.0,1.0,3.0,2.0,102.0,-0.6015696850956141,-3.43141658178107,-10.473805786112552
25.0,3.0,3.0,2.0,102.0,-0.5576244701285031,-3.230812353102412,-9.292479169713719
25.0,5.0,3.0,2.0,102.0,-0.5602709695732683,-3.147835967959657,-9.599192993310076
5.0,1.0,3.0,2.0,102.0,-0.5391772281385412,-3.5028421355532906,-9.480776067521578
5.0,3.0,3.0,2.0,102.0,-0.4920839303799778,-3.336079639378172,-10.207409566101928
5.0,5.0,3.0,2.0,102.0,-0.4555549421445693,-3.2991231968465367,-9.692815506682644
10.0,1.0,1.0,1.0,103.0,-0.42914925889548766,-3.6878694849960114,-9.811771892342406
10.0,3.0,1.0,1.0,103.0,-0.4212132793500267,-3.3305560099934164,-9.553717437934358
10.0,5.0,1.0,1.0,103.0,-0.4409450773673086,-3.2024576989828297,-9.637657959729715
1.0,1.0,1.0,1.0,103.0,-0.5529898368231186,-3.7313499027355697,-10.206739608731095
1.0,3.0,1.0,1.0,103.0,-0.546587590481268,-3.4513309002360293,-9.796217760600701
1.0,5.0,1.0,1.0,103.0,-0.4768245404853882,-3.2347644422510013,-9.915057760608635
25.0,1.0,1.0,1.0,103.0,-0.4660956133307211,-3.6307482667909903,-9.677840025269969
25.0,3.0,1.0,1.0,103.0,-0.471389191121653,-3.2771706146542834,-9.353628819840877
25.0,5.0,1.0,1.0,103.0,-0.45907620758048345,-3.1660697181829103,-9.452026055992924
5.0,1.0,1.0,1.0,103.0,-0.449173443295724,-3.69787813061334,-9.894831549274087
5.0,3.0,1.0,1.0,103.0,-0.42952370021387254,-3.3344088577245885,-9.50671962460066
5.0,5.0,1.0,1.0,103.0,-0.4261795748022272,-3.217871661391295,-9.695904053651471
10.0,1.0,3.0,2.0,103.0,-0.5469470771988759,-3.502256970542309,-10.505819491131085
10.0,3.0,3.0,2.0,103.0,-0.5175869376465954,-3.3140012998427357,-10.268289864857225
10.0,5.0,3.0,2.0,103.0,-0.5007764017079404,-3.2564463526464222,-10.593347522592788
1.0,1.0,3.0,2.0,103.0,-0.7415136604311875,-3.541250151138919,-10.969759904786
1.0,3.0,3.0,2.0,103.0,-0.6071795219677315,-3.4158175269780484,-10.412587394601475
1.0,5.0,3.0,2.0,103.0,-0.5474258366691584,-3.3228001930927924,-11.224209833109043
25.0,1.0,3.0,2.0,103.0,-0.6022059622409329,-3.4608964237306346,-10.819769977399666
25.0,3.0,3.0,2.0,103.0,-0.5504351378506778,-3.2217397551768068,-10.314766676489823
25.0,5.0,3.0,2.0,103.0,-0.5275837299153598,-3.187440179958622,-9.799787710398641
5.0,1.0,3.0,2.0,103.0,-0.5808698553376488,-3.504761000915246,-10.423502540568634
5.0,3.0,3.0,2.0,103.0,-0.5202189886346671,-3.3682569178001893,-10.533677484827045
5.0,5.0,3.0,2.0,103.0,-0.4827148827709997,-3.300838350392526,-9.91917377825454
10.0,1.0,1.0,1.0,104.0,-0.5082146542382427,-3.7672518906423016,-9.6219451464243
10.0,3.0,1.0,1.0,104.0,-0.5314542634296533,-3.5201082268325274,-9.946457123412957
10.0,5.0,1.0,1.0,104.0,-0.5237334328211791,-3.3976416763503456,-9.487612299794232
1.0,1.0,1.0,1.0,104.0,-0.6674397463529388,-3.8127486325863087,-10.018998823449909
1.0,3.0,1.0,1.0,104.0,-0.6156743280204864,-3.6231423637109668,-14.41776323316749
