K,Q,D,j,mask,lppd1,lppd2,lppd3
10.0,5.0,1.0,1.0,104.0,-0.5237334328211791,-4.017986692518915,-10.55672728429918
1.0,1.0,1.0,1.0,104.0,-0.6674397463529388,-4.369022988373667,-11.21656037831135
1.0,3.0,1.0,1.0,104.0,-0.6156743280204864,-4.203491359255574,-17.051696351513154
1.0,5.0,1.0,1.0,104.0,-0.5664949224719816,-4.089127179359865,-12.38990346599905
25.0,1.0,1.0,1.0,104.0,-0.5574238889142663,-4.207739970866862,-11.210262698391046
25.0,3.0,1.0,1.0,104.0,-0.591628535762329,-4.111159462068574,-11.641095759142814
25.0,5.0,1.0,1.0,104.0,-0.5528589144343812,-4.074561288047574,-10.922239868087365
5.0,1.0,1.0,1.0,104.0,-0.5150126575888888,-4.313705499630521,-10.846827313429134
5.0,3.0,1.0,1.0,104.0,-0.5201550878046265,-4.154416746672295,-11.548553551910292
5.0,5.0,1.0,1.0,104.0,-0.5098921539436087,-4.104237293065793,-11.184205865766504
10.0,1.0,3.0,2.0,104.0,-0.6439035835549696,-4.1284665926753386,-11.51145056164694
10.0,3.0,3.0,2.0,104.0,-0.6075606555442185,-4.080021235811295,-12.732854691485622
10.0,5.0,3.0,2.0,104.0,-0.591003614152317,-4.079215653912033,-13.9177215160453
1.0,1.0,3.0,2.0,104.0,-0.9093302990498572,-4.240601064364522,-12.720798368692988
1.0,3.0,3.0,2.0,104.0,-0.6934225301252285,-4.188257771337717,-13.590450258839333
1.0,5.0,3.0,2.0,104.0,-0.6746185654402251,-4.170264455824979,-12.832326804416242
25.0,1.0,3.0,2.0,104.0,-0.6848445658264338,-4.088582970147158,-11.884992847221303
25.0,3.0,3.0,2.0,104.0,-0.620372355978315,-3.99625652881657,-11.860092348860807
25.0,5.0,3.0,2.0,104.0,-0.6162748074004434,-4.074833051836117,-14.677076019479955
5.0,1.0,3.0,2.0,104.0,-0.675209506805991,-4.163000873523186,-12.083460202061417
5.0,3.0,3.0,2.0,104.0,-0.6002021758369397,-4.093941808281625,-12.523045416976169
5.0,5.0,3.0,2.0,104.0,-0.5701935892871605,-4.105026005442761,-11.715579567190943
