"","Anthus trivialis","Fringilla coelebs","Phylloscopus trochilus","Muscicapa striata","Ficedula hypoleuca","Carduelis spinus","Parus major","Sylvia borin","Aythya fuligula","Sterna paradisaea","Turdus philomelos","Sylvia atricapilla","Turdus iliacus","Lophophanes cristatus","Corvus corone cornix","Columba oenas","Carduelis chloris","Acrocephalus schoenobaenus","Columba palumbus","Emberiza schoeniclus","Hippolais icterina","Cyanistes caeruleus","Erithacus rubecula","Sylvia communis","Mergus merganser","Larus ridibundus","Turdus pilaris","Hirundo rustica","Emberiza citrinella","Grus grus","Motacilla alba","Larus canus","Alauda arvensis","Carpodacus erythrinus","Phoenicurus phoenicurus","Pica pica","Turdus merula","Apus apus","Luscinia luscinia","Oenanthe oenanthe","Larus argentatus","Sylvia curruca","Loxia pytyopsittacus","Cuculus canorus","Carduelis flammea","Troglodytes troglodytes","Bucephala clangula","Cygnus olor","Dryocopus martius","Regulus regulus","Phylloscopus sibilatrix","Poecile montanus","Carduelis cannabina","Sturnus vulgaris","Acrocephalus palustris","Jynx torquilla","Delichon urbicum","Vanellus vanellus","Columba livia","Dendrocopos major","Haematopus ostralegus","Corvus corax","Podiceps cristatus","Lanius collurio","Loxia curvirostra","Gavia stellata","Certhia familiaris","Anas platyrhynchos","Sterna hirundo","Tringa totanus","Scolopax rusticola","Passer domesticus","Anas crecca","Cygnus cygnus","Tetrao tetrix","Phylloscopus trochiloides","Prunella modularis","Phylloscopus collybita","Actitis hypoleucos","Lepus timidus","Picus canus","Odocoileus virginianus","Turdus viscivorus","Falco subbuteo","Ardea cinerea","Gavia arctica","Numenius arquata","Tetrastes bonasia","Garrulus glandarius","Tringa ochropus","Acrocephalus dumetorum","Saxicola rubetra","Periparus ater","Pyrrhula pyrrhula","Passer montanus","Corvus monedula","Hydrocoloeus minutus","Botaurus stellaris","Phasianus colchicus","Gallinago gallinago","Tetrao urogallus","Accipiter nisus","Tringa glareola","Aegithalos caudatus","Picoides tridactylus","Ficedula parva","Pandion haliaetus","Emberiza rustica","Tringa nebularia","Crex crex","Falco tinnunculus","Accipiter gentilis","Larus fuscus","Carduelis carduelis","Lepus europaeus","Alces alces","Capreolus capreolus","Buteo buteo","Fringilla montifringilla","Poecile cinctus","Numenius phaeopus","Anthus pratensis","Anas penelope","Bombycilla garrulus","Loxia leucoptera","Asio flammeus","Pluvialis apricaria","Anser fabalis","Motacilla flava","Perisoreus infaustus","Lagopus lagopus","Tringa erythropus","Lymnocryptes minimus","Emberiza pusilla","Calidris falcinellus","Luscinia svecica","Calcarius lapponicus"
"JX.1024961",6,37,17,0,5,1,3,5,0,0,5,0,5,1,1,0,0,0,5,0,0,2,13,0,0,1,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024962",13,35,11,0,2,2,4,2,0,0,5,1,8,0,0,0,0,0,3,0,0,2,12,0,0,0,5,0,0,0,0,0,0,0,2,0,7,0,0,0,0,3,0,2,0,5,0,0,1,1,6,1,0,0,0,0,0,0,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024963",8,37,21,0,1,4,3,5,0,0,21,3,9,0,0,0,0,0,2,0,0,4,8,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024964",9,38,7,0,0,4,8,2,0,0,15,1,10,0,0,0,0,0,11,0,0,1,9,0,0,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,2,0,0,1,6,1,1,0,0,0,0,0,0,0,3,0,0,0,1,10,1,2,1,0,0,0,0,0,0,0,0,5,4,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1125107",17,51,26,6,5,20,13,1,0,0,11,2,7,3,2,0,0,0,14,0,0,6,20,0,0,5,3,1,1,1,0,3,0,0,1,0,2,0,1,0,0,0,0,5,2,8,0,0,2,17,4,2,0,0,0,0,0,0,0,3,0,2,0,0,12,1,2,0,0,0,0,0,0,1,1,0,4,6,0,0,1,0,3,0,0,2,0,1,2,5,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024968",13,25,43,1,0,1,8,7,0,0,4,1,1,3,0,0,0,0,2,0,0,6,4,0,0,0,1,2,1,1,0,2,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,7,8,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1009000",18,48,36,0,0,11,18,3,0,0,16,0,4,3,0,0,0,0,7,0,0,7,27,0,0,1,1,0,0,0,1,5,0,0,1,0,8,0,0,0,0,1,0,6,0,7,0,0,0,7,1,0,0,0,0,0,0,0,0,11,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,5,10,1,0,0,0,5,0,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024971",15,70,53,5,2,12,22,14,0,0,15,8,13,0,5,0,1,0,8,0,0,4,12,1,0,1,9,3,2,0,0,0,0,0,0,1,11,0,0,0,0,6,0,3,0,5,0,0,2,10,9,1,0,0,0,1,0,0,0,4,0,0,0,0,1,1,2,0,0,0,1,0,0,1,6,0,8,3,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1200851",11,45,32,0,0,4,10,4,0,0,9,3,14,0,9,0,0,0,1,1,0,2,10,2,0,0,5,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,7,1,5,0,0,1,5,9,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1330386",9,52,37,0,0,3,5,12,0,0,11,5,11,0,2,0,0,0,6,0,0,1,5,1,0,0,0,0,0,0,1,2,0,0,0,1,4,0,0,0,0,0,0,4,0,8,0,0,1,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
