"","Anthus trivialis","Fringilla coelebs","Phylloscopus trochilus","Muscicapa striata","Ficedula hypoleuca","Carduelis spinus","Parus major","Sylvia borin","Aythya fuligula","Sterna paradisaea","Turdus philomelos","Sylvia atricapilla","Turdus iliacus","Lophophanes cristatus","Corvus corone cornix","Columba oenas","Carduelis chloris","Acrocephalus schoenobaenus","Columba palumbus","Emberiza schoeniclus","Hippolais icterina","Cyanistes caeruleus","Erithacus rubecula","Sylvia communis","Mergus merganser","Larus ridibundus","Turdus pilaris","Hirundo rustica","Emberiza citrinella","Grus grus","Motacilla alba","Larus canus","Alauda arvensis","Carpodacus erythrinus","Phoenicurus phoenicurus","Pica pica","Turdus merula","Apus apus","Luscinia luscinia","Oenanthe oenanthe","Larus argentatus","Sylvia curruca","Loxia pytyopsittacus","Cuculus canorus","Carduelis flammea","Troglodytes troglodytes","Bucephala clangula","Cygnus olor","Dryocopus martius","Regulus regulus","Phylloscopus sibilatrix","Poecile montanus","Carduelis cannabina","Sturnus vulgaris","Acrocephalus palustris","Jynx torquilla","Delichon urbicum","Vanellus vanellus","Columba livia","Dendrocopos major","Haematopus ostralegus","Corvus corax","Podiceps cristatus","Lanius collurio","Loxia curvirostra","Gavia stellata","Certhia familiaris","Anas platyrhynchos","Sterna hirundo","Tringa totanus","Scolopax rusticola","Passer domesticus","Anas crecca","Cygnus cygnus","Tetrao tetrix","Phylloscopus trochiloides","Prunella modularis","Phylloscopus collybita","Actitis hypoleucos","Lepus timidus","Picus canus","Odocoileus virginianus","Turdus viscivorus","Falco subbuteo","Ardea cinerea","Gavia arctica","Numenius arquata","Tetrastes bonasia","Garrulus glandarius","Tringa ochropus","Acrocephalus dumetorum","Saxicola rubetra","Periparus ater","Pyrrhula pyrrhula","Passer montanus","Corvus monedula","Hydrocoloeus minutus","Botaurus stellaris","Phasianus colchicus","Gallinago gallinago","Tetrao urogallus","Accipiter nisus","Tringa glareola","Aegithalos caudatus","Picoides tridactylus","Ficedula parva","Pandion haliaetus","Emberiza rustica","Tringa nebularia","Crex crex","Falco tinnunculus","Accipiter gentilis","Larus fuscus","Carduelis carduelis","Lepus europaeus","Alces alces","Capreolus capreolus","Buteo buteo","Fringilla montifringilla","Poecile cinctus","Numenius phaeopus","Anthus pratensis","Anas penelope","Bombycilla garrulus","Loxia leucoptera","Asio flammeus","Pluvialis apricaria","Anser fabalis","Motacilla flava","Perisoreus infaustus","Lagopus lagopus","Tringa erythropus","Lymnocryptes minimus","Emberiza pusilla","Calidris falcinellus","Luscinia svecica","Calcarius lapponicus"
"JX.1025508",15,42,42,8,0,9,12,9,0,0,6,1,6,3,1,0,2,0,7,0,0,1,13,0,0,5,10,2,3,0,2,0,0,1,3,1,5,0,0,0,0,3,0,4,0,0,1,0,1,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.54381",5,52,35,5,2,13,6,7,0,0,8,2,8,3,2,0,1,1,5,0,0,1,12,1,0,2,5,2,3,1,2,0,0,1,1,1,4,0,0,0,0,2,0,5,0,2,2,0,1,6,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1035834",6,57,44,3,2,11,8,5,0,0,6,0,7,1,2,0,3,0,6,0,0,4,12,1,0,1,10,0,2,0,0,0,0,1,0,1,6,0,0,0,0,3,0,4,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,3,2,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1155660",8,62,46,1,3,12,10,4,0,0,12,1,5,4,3,0,0,0,2,0,0,5,11,0,0,1,6,0,3,0,2,1,0,2,2,0,12,0,0,0,0,1,0,3,0,1,0,0,0,6,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1602983",6,71,36,0,2,10,5,6,0,0,11,2,8,1,1,0,0,0,7,0,0,5,11,0,0,0,10,1,2,0,3,0,0,1,3,0,8,0,0,0,0,2,0,2,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025511",31,46,59,4,3,3,7,3,0,0,3,0,2,3,0,0,0,0,1,0,0,0,7,1,0,0,3,0,6,0,0,0,0,1,4,0,1,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025512",21,42,42,1,0,12,7,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,5,0,0,0,2,0,4,0,0,0,0,0,1,0,3,0,0,0,0,1,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.50367",19,46,46,5,1,11,7,3,0,0,5,0,2,1,2,0,0,0,2,0,0,0,8,0,0,0,7,0,9,3,0,0,0,2,1,0,3,0,0,0,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1011465",24,42,42,2,1,4,9,1,0,0,4,0,3,0,2,0,0,0,2,0,0,0,4,0,0,1,0,0,6,4,0,0,2,0,1,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1433379",24,48,30,3,1,10,4,2,0,0,8,0,6,2,0,0,1,0,0,0,0,0,8,0,0,1,3,1,3,0,3,1,1,0,1,0,3,0,0,0,0,1,0,2,2,1,0,0,0,1,1,3,0,0,0,0,0,4,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025515",5,59,61,0,0,7,10,9,0,0,7,0,3,0,6,0,0,0,4,0,0,1,6,0,0,0,8,0,4,5,1,1,1,0,0,1,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025516",16,42,50,4,1,14,9,0,0,0,1,2,3,2,10,0,0,0,6,0,0,4,8,2,0,3,6,1,11,4,2,1,3,1,0,2,7,0,0,0,0,0,0,10,0,0,0,0,1,10,1,5,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,1,0,4,0,2,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025517",20,56,49,3,2,8,5,6,0,0,5,0,6,3,1,0,1,0,2,0,0,5,15,1,0,0,4,0,15,0,2,0,1,0,0,0,3,0,0,0,0,1,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.50464",4,48,57,2,1,8,9,3,0,0,8,0,7,2,6,0,0,0,4,0,0,0,10,2,0,2,11,1,15,2,1,0,1,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,0,2,2,3,0,0,0,0,0,14,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1012693",13,56,54,1,0,8,2,4,0,0,7,0,6,0,1,0,0,0,4,0,0,2,1,0,0,1,6,0,12,6,1,1,1,1,2,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1132532",7,41,57,3,0,7,3,3,0,0,6,0,12,1,4,0,0,0,5,0,0,2,10,1,0,5,8,1,11,3,2,0,2,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,6,0,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JX.1024466",14,46,20,7,2,14,7,3,0,2,3,1,7,5,4,6,2,1,11,1,2,4,1,5,3,0,9,9,17,4,5,10,2,2,0,2,14,4,1,3,0,2,0,2,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,55,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024467",9,51,20,1,2,9,8,5,0,6,7,0,4,1,2,0,5,0,3,1,0,2,4,6,0,0,10,2,9,2,7,7,2,2,0,1,8,3,0,2,0,1,0,4,0,0,0,2,1,2,1,0,0,1,0,0,1,0,0,1,0,5,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024468",8,60,30,10,2,20,15,6,1,0,12,1,9,1,4,2,4,0,9,0,3,3,8,6,0,0,9,1,22,2,5,11,2,0,1,4,9,0,0,1,0,1,1,1,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024469",13,43,33,7,12,7,16,4,0,0,12,1,6,2,9,1,7,1,15,0,1,2,9,7,2,0,24,0,13,3,4,4,1,0,1,1,11,0,0,0,0,3,0,3,2,0,1,1,1,3,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024470",15,55,34,6,13,12,21,3,0,0,10,1,8,4,9,0,1,0,22,0,2,4,6,6,2,0,16,3,16,1,4,22,0,0,0,1,17,3,0,0,0,0,2,2,3,1,1,1,0,4,0,0,1,2,0,1,0,0,0,1,0,2,0,0,10,0,0,4,8,0,0,1,0,0,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1008274",19,51,41,9,6,6,16,7,0,0,11,2,4,4,3,4,0,0,10,0,2,5,4,3,2,3,11,3,19,4,7,2,2,0,0,1,17,2,0,0,0,4,1,4,0,1,2,0,1,6,1,0,4,0,1,3,0,0,0,3,0,2,0,0,4,0,4,2,11,0,0,1,3,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1126440",13,52,38,9,10,18,13,7,0,0,14,2,3,2,4,0,4,0,9,1,4,5,2,8,1,0,9,3,17,2,9,5,1,0,2,2,11,3,0,0,1,2,0,2,2,0,3,0,0,5,0,1,1,1,0,3,0,0,0,3,0,2,1,0,8,0,3,1,7,0,1,1,1,0,0,0,1,0,2,0,0,2,1,0,0,1,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"JX.1243668",9,43,37,8,11,10,17,3,0,0,16,2,5,3,4,1,2,0,7,0,1,4,4,6,1,0,9,4,9,3,4,6,2,0,1,2,16,3,0,0,1,4,2,5,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,5,0,3,1,3,1,0,2,5,1,0,0,2,1,1,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1390816",15,61,38,13,9,11,18,6,0,0,19,1,3,0,4,2,0,0,11,0,2,4,7,6,1,2,5,3,19,2,3,4,2,0,2,1,8,3,0,0,0,3,2,3,1,1,1,1,3,6,0,0,1,1,0,3,0,0,0,6,0,2,2,0,21,0,1,1,7,0,1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025520",25,25,39,2,6,6,7,0,0,0,8,0,3,1,1,0,0,0,0,0,0,0,3,0,0,3,2,0,0,2,0,1,0,0,3,0,3,0,0,0,0,1,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"JX.60958",23,53,59,2,1,18,5,0,0,0,4,0,4,0,0,0,0,0,1,1,0,0,6,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"JX.1132224",26,35,32,3,0,4,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"JX.1253199",23,38,30,3,1,4,2,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,4,0,1,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JX.1025523",8,34,87,4,3,19,9,13,0,0,5,0,8,0,5,0,0,0,8,0,0,2,19,2,0,1,15,0,12,2,0,1,0,6,0,2,3,0,0,0,0,3,1,3,0,1,0,0,0,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,11,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,1,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.59877",1,23,40,0,0,7,1,7,0,0,5,0,9,0,3,0,0,0,1,0,0,0,4,1,0,0,8,0,6,0,0,3,0,1,0,0,1,0,0,0,0,3,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,5,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1390602",15,33,49,3,4,14,3,8,0,0,10,0,6,1,4,0,0,0,7,0,0,3,4,1,0,0,6,0,12,2,0,6,1,4,0,0,10,0,0,0,0,7,0,10,0,5,1,0,1,5,0,2,0,0,0,2,0,0,0,4,0,0,0,0,5,0,1,0,0,0,1,0,0,2,3,0,13,10,0,0,0,0,1,0,0,0,6,2,1,1,0,0,0,2,0,7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025525",20,68,36,9,5,19,6,3,0,0,15,1,0,2,1,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,9,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0,12,2,1,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025526",14,56,35,11,5,14,15,3,0,0,6,0,0,1,2,0,0,0,0,0,0,3,19,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4,0,3,0,0,1,11,4,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,0,5,9,0,0,0,0,4,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1245649",19,45,19,5,2,21,7,0,0,0,8,0,2,1,2,0,0,0,1,0,0,4,13,0,0,0,1,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,5,1,1,0,0,0,5,1,1,0,0,0,0,0,0,0,1,0,2,0,0,3,1,0,0,0,0,0,0,0,1,1,0,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025529",8,53,49,7,2,19,15,10,0,0,10,0,10,1,10,0,5,0,6,0,0,5,2,2,0,0,21,2,12,0,1,7,0,2,1,3,4,0,0,0,0,3,0,2,0,2,0,0,1,8,1,3,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,6,6,0,0,0,0,0,0,0,0,8,0,1,1,1,0,1,6,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"JX.1025530",5,65,45,9,4,18,9,10,0,0,4,0,13,1,14,0,2,1,2,0,0,3,3,1,1,0,23,1,12,1,1,5,0,3,2,1,0,0,0,0,1,8,1,3,0,3,0,0,1,8,0,3,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,10,0,0,0,0,0,0,0,0,8,0,1,1,0,2,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1133085",10,64,38,3,3,17,11,11,0,0,20,0,16,0,3,0,1,0,6,2,0,1,8,1,0,2,22,2,12,2,1,3,2,4,1,1,2,0,0,1,8,0,0,2,0,7,0,0,0,8,0,0,0,0,0,0,0,3,0,6,0,1,0,0,8,0,0,1,0,0,1,0,0,1,0,0,7,13,0,0,0,0,3,0,0,1,5,0,2,0,0,1,0,3,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1590775",9,30,20,1,1,8,4,6,0,0,4,0,15,2,0,0,0,0,3,0,0,4,10,3,0,0,20,4,11,2,0,1,1,3,0,1,8,0,0,0,0,0,0,0,0,5,0,0,2,4,0,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,0,1,0,0,0,1,0,0,4,0,0,1,1,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025533",23,49,25,4,1,19,16,5,0,0,9,0,7,0,4,0,1,0,0,0,0,0,4,0,0,0,3,0,2,0,0,3,0,0,5,0,1,0,0,0,0,2,0,10,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,59,0,0,0,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1246414",21,50,22,1,1,16,2,7,0,0,9,3,13,0,1,0,0,0,0,0,0,2,7,0,0,0,5,0,0,2,1,1,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025535",7,57,35,2,2,6,5,7,0,0,3,1,10,0,6,0,2,0,8,0,0,5,5,3,0,17,30,4,12,0,1,8,0,2,0,3,1,0,0,0,4,0,0,3,0,0,1,0,1,8,2,2,0,6,0,0,0,7,0,5,0,0,0,0,6,0,1,1,0,0,0,7,1,1,1,0,0,5,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025536",6,71,38,6,0,8,7,13,0,0,11,0,20,2,11,0,6,1,13,1,0,1,10,1,0,4,46,0,14,2,1,6,0,2,0,10,1,0,0,0,0,0,0,5,0,4,1,0,0,10,0,1,0,0,0,0,0,9,0,4,0,0,0,0,3,0,1,1,0,0,0,13,0,3,0,0,5,0,1,0,0,0,0,0,0,1,10,0,1,2,0,2,1,5,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1025538",31,64,83,0,3,11,8,4,0,0,9,9,12,0,10,0,0,0,17,1,0,1,11,0,0,13,35,0,23,3,1,15,0,2,0,2,3,1,0,0,0,1,0,5,0,0,1,0,0,10,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,7,0,0,0,7,2,12,0,0,2,10,0,0,0,0,1,0,0,2,12,1,5,1,0,0,0,4,0,8,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1246412",3,50,43,2,1,7,8,7,0,0,10,3,13,1,6,0,3,0,6,1,0,3,12,3,0,10,28,3,9,2,1,13,1,3,0,1,2,0,0,0,0,0,0,3,0,2,0,0,0,2,3,1,0,3,0,0,0,8,0,4,0,1,0,0,2,0,2,5,0,0,0,7,0,6,3,0,5,3,0,0,0,0,0,0,0,0,9,0,0,3,1,0,0,1,1,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
