K,P,maskSeed,lppd,lppd1,lppd2,lppd3,lppd4
1.0,1.0,101.0,-0.0018048813275746145,-0.0018701043199882417,0.0015755934904740088,0.0007918044837152971,NaN
1.0,5.0,101.0,0.042911732852567885,0.03406447966281223,0.020660708563964736,0.09540663091465484,0.1948951457061412
1.0,10.0,101.0,0.04799058154613789,0.03586479387445651,0.03207035053523066,0.11782511449704813,0.2175005337934257
1.0,25.0,101.0,0.051053266031443334,0.037774945774104784,0.03165231597997309,0.13184361182197657,0.2321903282321225
1.0,1.0,102.0,-0.0017789117000415189,-0.0018578601554712915,0.0020924627303290366,0.0010620567317636553,NaN
1.0,5.0,102.0,0.040277341616729245,0.030075729932741213,0.018482439112803117,0.11803680192477906,0.19529767924079078
1.0,10.0,102.0,0.04767996936669294,0.033728238824416,0.027326581528601235,0.114455396925905,0.26539439300321366
1.0,25.0,102.0,0.05028146534382616,0.03441014465568504,0.03921391104282401,0.12881273729941656,0.26489005845608204
1.0,1.0,103.0,-0.0014136949410978872,-0.001470235819197141,0.0006082329316196844,-0.00011367175938233054,-0.0025368615102167417
1.0,5.0,103.0,0.03983956037617564,0.030865408883587575,0.02521842303856303,0.09702041610988665,0.1657066942939629
1.0,10.0,103.0,0.04895978706844928,0.03340941788695129,0.04712646119359576,0.10629620034548415,0.24063698525503696
1.0,25.0,103.0,0.052182708199411953,0.03690063941103605,0.038033408597894613,0.11339912370922889,0.26626077868940623
1.0,1.0,104.0,-0.0020697733795165263,-0.0021215502734237557,0.0002988559088833165,0.0018843481718980315,NaN
1.0,5.0,104.0,0.03946022573782826,0.032837147498517405,0.019861563800227966,0.06857580658944462,0.19083853822537833
1.0,10.0,104.0,0.045707275345723275,0.03536100625998917,0.033439427833141355,0.10089505062159354,0.20096905908681695
1.0,25.0,104.0,0.049525086116576356,0.037374313144728166,0.03626359302403026,0.11209683245525204,0.2418256468093034
1.0,1.0,105.0,-0.002644303305247009,-0.0026166983957427448,-0.0010982798516057796,-0.010970337352244619,NaN
1.0,5.0,105.0,0.036178520107372325,0.02803632499104003,0.035225772488290286,0.08326149795076043,0.14407212783504075
1.0,10.0,105.0,0.041801312717687944,0.031102502896377837,0.01991740748413351,0.09816548790711987,0.21312301995362226
