K,P,maskSeed,lppd,lppd1,lppd2,lppd3,lppd4
10.0,25.0,104.0,0.0013061528585565085,0.0008253227632413207,-0.002336976295788329,0.052037078527851666,0.20373362937408412
10.0,1.0,105.0,6.965255232072032e-5,7.375997169134507e-5,-0.0005409627305158482,NaN,NaN
10.0,5.0,105.0,-0.00953670800985651,-0.0087193100132682,-0.039966413586178806,-0.019912753726663013,0.28748774514106756
10.0,10.0,105.0,-0.006915306774202268,-0.005642734355196022,-0.012519089675399497,-0.058862908402359526,-0.3735133138747191
10.0,25.0,105.0,0.0013510841545603114,0.0013865108656052616,-0.0031586935433050023,0.0197531997155882,0.23789298058107677
25.0,1.0,101.0,-0.0004493075503344546,-0.0004493075503344546,NaN,NaN,NaN
25.0,5.0,101.0,-0.002500821408687681,-0.004284000062244386,0.17542039570305779,0.047010420653968765,NaN
25.0,10.0,101.0,-0.012173041588702693,-0.012797863021628109,0.014820376473749342,0.029372961650130147,0.059753117067412376
25.0,25.0,101.0,-0.011932295751825306,-0.012338332444574052,-0.006074122750744593,0.033307874417518146,NaN
25.0,1.0,102.0,-0.006920029098412828,-0.006920029098412828,NaN,NaN,NaN
25.0,5.0,102.0,-0.0037448234996408925,-0.004103427413185701,0.05126931370118504,0.03893981136719926,NaN
25.0,10.0,102.0,-0.008201969691828959,-0.008063915790640586,-0.0015217419610582539,-0.12483109696229411,-0.5480800496205589
25.0,25.0,102.0,0.00016771893158207263,-0.0004052985607467807,0.0054409104509869355,0.10545473635082336,NaN
25.0,1.0,103.0,-0.004395938780313857,-0.004395938780313857,NaN,NaN,NaN
25.0,5.0,103.0,-0.00017886277995260436,-0.00026792336231540315,0.01091492521257642,-0.3379439555425501,NaN
25.0,10.0,103.0,-0.003380308349375305,-0.00365315176694736,0.002526259504236794,0.07178297947863577,-0.0387236021459465
25.0,25.0,103.0,0.014708214192292735,0.011233678018783944,0.056481735396519905,0.1837025692350882,-0.06366221719260645
25.0,1.0,104.0,-0.004554168278822601,-0.004553279830585399,-0.02188868183458048,NaN,NaN
25.0,5.0,104.0,0.0015377540314972515,0.0013585810338673232,0.025185381791704042,0.16488809549362848,NaN
25.0,10.0,104.0,-0.001561134250137819,-0.0013980943347136066,-0.009570871023075966,-0.007060579596934513,-0.008328738664126867
25.0,25.0,104.0,0.0017505703681834905,0.0019874005597935174,-0.007015799206087081,0.056092021523727276,-0.5156783566838006
25.0,1.0,105.0,0.003991413448343417,0.003991413448343417,NaN,NaN,NaN
25.0,5.0,105.0,0.004528563911741612,0.004283659969242293,0.03109635734856342,-0.016679522037013506,NaN
25.0,10.0,105.0,-0.0010530563235666701,-0.0018143007076854012,0.03519886922015303,0.024518002291346264,NaN
25.0,25.0,105.0,0.00446128641313126,0.004684660620483783,0.0035209375889646566,-0.042648539283378195,0.0722682349064585
